"Number of Establishments Employing 20 or More Workers by Business Recovery Measures/Actions for the Next Six Months and Major Industry Group, Philippines:  June 30, 2020"

"Major Industry Group";"Business Recovery Measures/Actions for the Next Six Months";"2020"
"ALL INDUSTRIES";"Total Establishments";34543
"ALL INDUSTRIES";"..Total Establishments with Business Recovery Measures/Actions";13238
"ALL INDUSTRIES";"....Request the government for delayed payments on taxes, SSS contributions, etc.";6151
"ALL INDUSTRIES";"....Request lending institutions for delayed repayment of loans";2837
"ALL INDUSTRIES";"....Reduce employees' wages/salaries";3113
"ALL INDUSTRIES";"....Lay-off workers";3359
"ALL INDUSTRIES";"....Cancel contracts with suppliers";932
"ALL INDUSTRIES";"....Apply for bankruptcy";55
"ALL INDUSTRIES";"....Others";2566
"ALL INDUSTRIES";"..None";21305
"..Agriculture, Forestry and Fishing";"Total Establishments";951
"..Agriculture, Forestry and Fishing";"..Total Establishments with Business Recovery Measures/Actions";94
"..Agriculture, Forestry and Fishing";"....Request the government for delayed payments on taxes, SSS contributions, etc.";28
"..Agriculture, Forestry and Fishing";"....Request lending institutions for delayed repayment of loans";46
"..Agriculture, Forestry and Fishing";"....Reduce employees' wages/salaries";13
"..Agriculture, Forestry and Fishing";"....Lay-off workers";24
"..Agriculture, Forestry and Fishing";"....Cancel contracts with suppliers";1
"..Agriculture, Forestry and Fishing";"....Apply for bankruptcy";0
"..Agriculture, Forestry and Fishing";"....Others";6
"..Agriculture, Forestry and Fishing";"..None";856
"..Mining and Quarrying";"Total Establishments";150
"..Mining and Quarrying";"..Total Establishments with Business Recovery Measures/Actions";57
"..Mining and Quarrying";"....Request the government for delayed payments on taxes, SSS contributions, etc.";27
"..Mining and Quarrying";"....Request lending institutions for delayed repayment of loans";4
"..Mining and Quarrying";"....Reduce employees' wages/salaries";16
"..Mining and Quarrying";"....Lay-off workers";23
"..Mining and Quarrying";"....Cancel contracts with suppliers";0
"..Mining and Quarrying";"....Apply for bankruptcy";0
"..Mining and Quarrying";"....Others";8
"..Mining and Quarrying";"..None";94
"..Manufacturing";"Total Establishments";5923
"..Manufacturing";"..Total Establishments with Business Recovery Measures/Actions";2250
"..Manufacturing";"....Request the government for delayed payments on taxes, SSS contributions, etc.";1075
"..Manufacturing";"....Request lending institutions for delayed repayment of loans";635
"..Manufacturing";"....Reduce employees' wages/salaries";338
"..Manufacturing";"....Lay-off workers";693
"..Manufacturing";"....Cancel contracts with suppliers";205
"..Manufacturing";"....Apply for bankruptcy";22
"..Manufacturing";"....Others";329
"..Manufacturing";"..None";3673
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";263
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Total Establishments with Business Recovery Measures/Actions";30
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Request the government for delayed payments on taxes, SSS contributions, etc.";14
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Request lending institutions for delayed repayment of loans";10
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Reduce employees' wages/salaries";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Lay-off workers";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Cancel contracts with suppliers";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Apply for bankruptcy";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Others";7
"..Electricity, Gas, Steam and Air Conditioning Supply";"..None";232
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";331
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Total Establishments with Business Recovery Measures/Actions";118
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";85
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Request lending institutions for delayed repayment of loans";23
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Reduce employees' wages/salaries";28
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Lay-off workers";2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Cancel contracts with suppliers";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Apply for bankruptcy";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Others";12
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..None";212
"..Construction";"Total Establishments";1193
"..Construction";"..Total Establishments with Business Recovery Measures/Actions";526
"..Construction";"....Request the government for delayed payments on taxes, SSS contributions, etc.";186
"..Construction";"....Request lending institutions for delayed repayment of loans";187
"..Construction";"....Reduce employees' wages/salaries";79
"..Construction";"....Lay-off workers";198
"..Construction";"....Cancel contracts with suppliers";9
"..Construction";"....Apply for bankruptcy";4
"..Construction";"....Others";128
"..Construction";"..None";667
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";8681
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Total Establishments with Business Recovery Measures/Actions";2318
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Request the government for delayed payments on taxes, SSS contributions, etc.";985
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Request lending institutions for delayed repayment of loans";602
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Reduce employees' wages/salaries";444
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Lay-off workers";377
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Cancel contracts with suppliers";174
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Apply for bankruptcy";0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Others";487
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..None";6363
"..Transportation and Storage";"Total Establishments";1043
"..Transportation and Storage";"..Total Establishments with Business Recovery Measures/Actions";459
"..Transportation and Storage";"....Request the government for delayed payments on taxes, SSS contributions, etc.";267
"..Transportation and Storage";"....Request lending institutions for delayed repayment of loans";155
"..Transportation and Storage";"....Reduce employees' wages/salaries";105
"..Transportation and Storage";"....Lay-off workers";104
"..Transportation and Storage";"....Cancel contracts with suppliers";14
"..Transportation and Storage";"....Apply for bankruptcy";8
"..Transportation and Storage";"....Others";69
"..Transportation and Storage";"..None";585
"..Accommodation and Food Service Activities";"Total Establishments";4070
"..Accommodation and Food Service Activities";"..Total Establishments with Business Recovery Measures/Actions";2575
"..Accommodation and Food Service Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";1294
"..Accommodation and Food Service Activities";"....Request lending institutions for delayed repayment of loans";360
"..Accommodation and Food Service Activities";"....Reduce employees' wages/salaries";758
"..Accommodation and Food Service Activities";"....Lay-off workers";907
"..Accommodation and Food Service Activities";"....Cancel contracts with suppliers";257
"..Accommodation and Food Service Activities";"....Apply for bankruptcy";0
"..Accommodation and Food Service Activities";"....Others";388
"..Accommodation and Food Service Activities";"..None";1495
"..Information and Communication";"Total Establishments";788
"..Information and Communication";"..Total Establishments with Business Recovery Measures/Actions";243
"..Information and Communication";"....Request the government for delayed payments on taxes, SSS contributions, etc.";124
"..Information and Communication";"....Request lending institutions for delayed repayment of loans";46
"..Information and Communication";"....Reduce employees' wages/salaries";124
"..Information and Communication";"....Lay-off workers";87
"..Information and Communication";"....Cancel contracts with suppliers";27
"..Information and Communication";"....Apply for bankruptcy";0
"..Information and Communication";"....Others";31
"..Information and Communication";"..None";545
"..Financial and Insurance Activities";"Total Establishments";1455
"..Financial and Insurance Activities";"..Total Establishments with Business Recovery Measures/Actions";541
"..Financial and Insurance Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";243
"..Financial and Insurance Activities";"....Request lending institutions for delayed repayment of loans";108
"..Financial and Insurance Activities";"....Reduce employees' wages/salaries";9
"..Financial and Insurance Activities";"....Lay-off workers";25
"..Financial and Insurance Activities";"....Cancel contracts with suppliers";68
"..Financial and Insurance Activities";"....Apply for bankruptcy";0
"..Financial and Insurance Activities";"....Others";202
"..Financial and Insurance Activities";"..None";914
"..Real Estate Activities";"Total Establishments";613
"..Real Estate Activities";"..Total Establishments with Business Recovery Measures/Actions";221
"..Real Estate Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";55
"..Real Estate Activities";"....Request lending institutions for delayed repayment of loans";4
"..Real Estate Activities";"....Reduce employees' wages/salaries";48
"..Real Estate Activities";"....Lay-off workers";110
"..Real Estate Activities";"....Cancel contracts with suppliers";1
"..Real Estate Activities";"....Apply for bankruptcy";0
"..Real Estate Activities";"....Others";107
"..Real Estate Activities";"..None";392
"..Professional, Scientific and Technical Activities";"Total Establishments";846
"..Professional, Scientific and Technical Activities";"..Total Establishments with Business Recovery Measures/Actions";262
"..Professional, Scientific and Technical Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";138
"..Professional, Scientific and Technical Activities";"....Request lending institutions for delayed repayment of loans";76
"..Professional, Scientific and Technical Activities";"....Reduce employees' wages/salaries";56
"..Professional, Scientific and Technical Activities";"....Lay-off workers";41
"..Professional, Scientific and Technical Activities";"....Cancel contracts with suppliers";2
"..Professional, Scientific and Technical Activities";"....Apply for bankruptcy";1
"..Professional, Scientific and Technical Activities";"....Others";26
"..Professional, Scientific and Technical Activities";"..None";584
"..Administrative and Support Service Activities";"Total Establishments";2445
"..Administrative and Support Service Activities";"..Total Establishments with Business Recovery Measures/Actions";976
"..Administrative and Support Service Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";538
"..Administrative and Support Service Activities";"....Request lending institutions for delayed repayment of loans";172
"..Administrative and Support Service Activities";"....Reduce employees' wages/salaries";215
"..Administrative and Support Service Activities";"....Lay-off workers";296
"..Administrative and Support Service Activities";"....Cancel contracts with suppliers";14
"..Administrative and Support Service Activities";"....Apply for bankruptcy";3
"..Administrative and Support Service Activities";"....Others";145
"..Administrative and Support Service Activities";"..None";1469
"..Education Except Public Education";"Total Establishments";3894
"..Education Except Public Education";"..Total Establishments with Business Recovery Measures/Actions";1815
"..Education Except Public Education";"....Request the government for delayed payments on taxes, SSS contributions, etc.";848
"..Education Except Public Education";"....Request lending institutions for delayed repayment of loans";286
"..Education Except Public Education";"....Reduce employees' wages/salaries";604
"..Education Except Public Education";"....Lay-off workers";267
"..Education Except Public Education";"....Cancel contracts with suppliers";136
