"Number of Non-Regular Workers in Establishments with 20 or More Workers by Category and Region: August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ESGW/5701B3GE102.px/table/tableViewLayout1/?rxid=35bcaecd-93bf-46d3-bfca-3693580d69a7"
"REGION";"2022 Total Non-Regular Workers";"2022 ..Probationary Workers";"2022 ..Casual Workers";"2022 ..Contractual/ Project-based Workers";"2022 ..Seasonal Workers";"2022 ..Apprentices/ Learners"
"PHILIPPINES";990443;489499;154364;296258;40688;9635
"..National Capital Region";375629;195106;25956;147889;6025;653
"..Cordillera Administrative Region";13943;7604;1592;3860;611;276
"..Region I - Ilocos Region";14283;8599;2326;2705;594;60
"..Region II - Cagayan Valley";9206;3883;1106;3455;700;62
"..Region III - Central Luzon";95245;50147;15703;20656;4419;4320
"..Region IV-A - CALABARZON";112919;55818;28304;25825;2169;802
"..MIMAROPA Region";10500;2861;3231;3833;490;85
"..Region V - Bicol Region";14375;6587;2701;4433;507;147
"..Region VI - Western Visayas";40361;20619;5672;6893;6902;275
"..Region VII - Central Visayas";110401;71521;9192;23675;5222;792
"..Region VIII - Eastern Visayas";14241;4642;2053;6309;1183;55
"..Region IX - Zamboanga Peninsula";10439;4069;2949;1598;1795;28
"..Region X - Northern Mindanao";40507;19050;9032;11291;415;720
"..Region XI - Davao Region";67813;21454;16413;24183;4833;931
"..Region XII - SOCCSKSARGEN";33601;11595;18252;2941;780;34
"..Region XIII - CARAGA";25611;5724;9668;5806;4020;393
"..Bangsamoro Autonomous Region in Muslim Mindanao";1368;221;214;908;23;2
