"Number of Establishments Employing 20 or More Workers Who Disseminated Information on ECP by Mode of Information Dissemination and Major Industry Group, Philippines:  2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0071B3E9070.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Information Dissemination";"Major Industry Group";"2017"
"Total Establishments Who Disseminated information on ECP";"ALL INDUSTRIES";17357
"Total Establishments Who Disseminated information on ECP";"..Agriculture, Forestry and Fishing";600
"Total Establishments Who Disseminated information on ECP";"..Mining and Quarrying";90
"Total Establishments Who Disseminated information on ECP";"..Manufacturing";3252
"Total Establishments Who Disseminated information on ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";222
"Total Establishments Who Disseminated information on ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";135
"Total Establishments Who Disseminated information on ECP";"..Construction";512
"Total Establishments Who Disseminated information on ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4288
"Total Establishments Who Disseminated information on ECP";"..Transportation and Storage";576
"Total Establishments Who Disseminated information on ECP";"..Accommodation and Food Service Activities";2313
"Total Establishments Who Disseminated information on ECP";"..Information and Communication";380
"Total Establishments Who Disseminated information on ECP";"..Financial and Insurance Activities";750
"Total Establishments Who Disseminated information on ECP";"..Real Estate Activities";236
"Total Establishments Who Disseminated information on ECP";"..Professional, Scientific and Technical Activities";331
"Total Establishments Who Disseminated information on ECP";"..Administrative and Support Service Activities";1092
"Total Establishments Who Disseminated information on ECP";"..Education Except Public Education";1712
"Total Establishments Who Disseminated information on ECP";"..Human Health and Social Work Activities Except Public Health Activities";592
"Total Establishments Who Disseminated information on ECP";"..Arts, Entertainment and  Recreation";121
"Total Establishments Who Disseminated information on ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";155
"Echo Seminar on ECP (Solely initiated by Establishment)";"ALL INDUSTRIES";6401
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Agriculture, Forestry and Fishing";261
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Mining and Quarrying";38
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Manufacturing";1159
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Electricity, Gas, Steam and Air Conditioning Supply";77
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";40
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Construction";173
