"Number of Establishments Employing 20 or More Workers by Impact of Quarantines and Lockdowns During COVID-19 Outbreak and Major Industry Group, Philippines:  June 30, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/9001B3GP180.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Impact of Quarantines and Lockdowns";"2020"
"ALL INDUSTRIES";"Total Establishments";34543
"ALL INDUSTRIES";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";25045
"ALL INDUSTRIES";"....Cost of production inputs increased";3450
"ALL INDUSTRIES";"....Cost of production inputs decreased";11371
"ALL INDUSTRIES";"....Cost of production inputs did not change";1585
"ALL INDUSTRIES";"....Sales Position as Compared to June 2019 increased";1186
"ALL INDUSTRIES";"....Sales Position as Compared to June 2019 decreased";16044
"ALL INDUSTRIES";"....Sales Position as Compared to June 2019 did not change";1561
"ALL INDUSTRIES";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";4030
"ALL INDUSTRIES";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";3475
"ALL INDUSTRIES";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";9163
"ALL INDUSTRIES";"....Work Arrangements Adopted by Reduced working hours";12107
"ALL INDUSTRIES";"....Work Arrangements Adopted by Temporarily laid-off of workers";4222
"ALL INDUSTRIES";"..None";9498
"..Agriculture, Forestry and Fishing";"Total Establishments";951
"..Agriculture, Forestry and Fishing";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";475
"..Agriculture, Forestry and Fishing";"....Cost of production inputs increased";129
"..Agriculture, Forestry and Fishing";"....Cost of production inputs decreased";142
"..Agriculture, Forestry and Fishing";"....Cost of production inputs did not change";109
"..Agriculture, Forestry and Fishing";"....Sales Position as Compared to June 2019 increased";14
"..Agriculture, Forestry and Fishing";"....Sales Position as Compared to June 2019 decreased";270
"..Agriculture, Forestry and Fishing";"....Sales Position as Compared to June 2019 did not change";101
"..Agriculture, Forestry and Fishing";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";37
"..Agriculture, Forestry and Fishing";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";44
"..Agriculture, Forestry and Fishing";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";51
"..Agriculture, Forestry and Fishing";"....Work Arrangements Adopted by Reduced working hours";151
"..Agriculture, Forestry and Fishing";"....Work Arrangements Adopted by Temporarily laid-off of workers";71
"..Agriculture, Forestry and Fishing";"..None";476
"..Mining and Quarrying";"Total Establishments";150
"..Mining and Quarrying";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";101
"..Mining and Quarrying";"....Cost of production inputs increased";13
"..Mining and Quarrying";"....Cost of production inputs decreased";42
"..Mining and Quarrying";"....Cost of production inputs did not change";13
"..Mining and Quarrying";"....Sales Position as Compared to June 2019 increased";21
"..Mining and Quarrying";"....Sales Position as Compared to June 2019 decreased";47
"..Mining and Quarrying";"....Sales Position as Compared to June 2019 did not change";3
"..Mining and Quarrying";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";33
"..Mining and Quarrying";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";9
"..Mining and Quarrying";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";28
"..Mining and Quarrying";"....Work Arrangements Adopted by Reduced working hours";45
"..Mining and Quarrying";"....Work Arrangements Adopted by Temporarily laid-off of workers";13
"..Mining and Quarrying";"..None";49
"..Manufacturing";"Total Establishments";5923
"..Manufacturing";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";4649
"..Manufacturing";"....Cost of production inputs increased";825
"..Manufacturing";"....Cost of production inputs decreased";2729
"..Manufacturing";"....Cost of production inputs did not change";251
"..Manufacturing";"....Sales Position as Compared to June 2019 increased";210
"..Manufacturing";"....Sales Position as Compared to June 2019 decreased";3462
"..Manufacturing";"....Sales Position as Compared to June 2019 did not change";318
"..Manufacturing";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";842
"..Manufacturing";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";1018
"..Manufacturing";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";1163
"..Manufacturing";"....Work Arrangements Adopted by Reduced working hours";2349
"..Manufacturing";"....Work Arrangements Adopted by Temporarily laid-off of workers";682
"..Manufacturing";"..None";1274
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";263
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";173
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Cost of production inputs increased";31
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Cost of production inputs decreased";23
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Cost of production inputs did not change";52
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Sales Position as Compared to June 2019 increased";13
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Sales Position as Compared to June 2019 decreased";50
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Sales Position as Compared to June 2019 did not change";53
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";12
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";141
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Work Arrangements Adopted by Reduced working hours";47
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Work Arrangements Adopted by Temporarily laid-off of workers";4
"..Electricity, Gas, Steam and Air Conditioning Supply";"..None";89
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";331
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";210
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Cost of production inputs increased";70
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Cost of production inputs decreased";74
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Cost of production inputs did not change";10
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Sales Position as Compared to June 2019 increased";59
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Sales Position as Compared to June 2019 decreased";112
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Sales Position as Compared to June 2019 did not change";5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";43
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";102
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Work Arrangements Adopted by Reduced working hours";68
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";13
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..None";120
"..Construction";"Total Establishments";1193
"..Construction";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";1002
"..Construction";"....Cost of production inputs increased";157
"..Construction";"....Cost of production inputs decreased";619
"..Construction";"....Cost of production inputs did not change";53
"..Construction";"....Sales Position as Compared to June 2019 increased";51
"..Construction";"....Sales Position as Compared to June 2019 decreased";567
"..Construction";"....Sales Position as Compared to June 2019 did not change";165
"..Construction";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";144
"..Construction";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";135
"..Construction";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";355
"..Construction";"....Work Arrangements Adopted by Reduced working hours";415
"..Construction";"....Work Arrangements Adopted by Temporarily laid-off of workers";264
"..Construction";"..None";191
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";8681
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";5906
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Cost of production inputs increased";636
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Cost of production inputs decreased";2126
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Cost of production inputs did not change";335
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Sales Position as Compared to June 2019 increased";484
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Sales Position as Compared to June 2019 decreased";3864
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Sales Position as Compared to June 2019 did not change";405
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";929
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";839
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";1992
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Work Arrangements Adopted by Reduced working hours";2536
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Work Arrangements Adopted by Temporarily laid-off of workers";750
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..None";2775
"..Transportation and Storage";"Total Establishments";1043
"..Transportation and Storage";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";785
"..Transportation and Storage";"....Cost of production inputs increased";115
"..Transportation and Storage";"....Cost of production inputs decreased";393
"..Transportation and Storage";"....Cost of production inputs did not change";28
"..Transportation and Storage";"....Sales Position as Compared to June 2019 increased";38
"..Transportation and Storage";"....Sales Position as Compared to June 2019 decreased";467
"..Transportation and Storage";"....Sales Position as Compared to June 2019 did not change";48
"..Transportation and Storage";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";106
"..Transportation and Storage";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";76
"..Transportation and Storage";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";328
"..Transportation and Storage";"....Work Arrangements Adopted by Reduced working hours";355
"..Transportation and Storage";"....Work Arrangements Adopted by Temporarily laid-off of workers";124
"..Transportation and Storage";"..None";258
"..Accommodation and Food Service Activities";"Total Establishments";4070
"..Accommodation and Food Service Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";3150
"..Accommodation and Food Service Activities";"....Cost of production inputs increased";452
"..Accommodation and Food Service Activities";"....Cost of production inputs decreased";1704
"..Accommodation and Food Service Activities";"....Cost of production inputs did not change";202
"..Accommodation and Food Service Activities";"....Sales Position as Compared to June 2019 increased";4
"..Accommodation and Food Service Activities";"....Sales Position as Compared to June 2019 decreased";2669
"..Accommodation and Food Service Activities";"....Sales Position as Compared to June 2019 did not change";4
"..Accommodation and Food Service Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";464
"..Accommodation and Food Service Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";530
"..Accommodation and Food Service Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";497
"..Accommodation and Food Service Activities";"....Work Arrangements Adopted by Reduced working hours";2068
"..Accommodation and Food Service Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";834
"..Accommodation and Food Service Activities";"..None";920
"..Information and Communication";"Total Establishments";788
"..Information and Communication";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";595
"..Information and Communication";"....Cost of production inputs increased";98
"..Information and Communication";"....Cost of production inputs decreased";170
"..Information and Communication";"....Cost of production inputs did not change";95
"..Information and Communication";"....Sales Position as Compared to June 2019 increased";52
"..Information and Communication";"....Sales Position as Compared to June 2019 decreased";342
"..Information and Communication";"....Sales Position as Compared to June 2019 did not change";27
"..Information and Communication";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";48
"..Information and Communication";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";47
"..Information and Communication";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";388
"..Information and Communication";"....Work Arrangements Adopted by Reduced working hours";217
"..Information and Communication";"....Work Arrangements Adopted by Temporarily laid-off of workers";77
"..Information and Communication";"..None";193
"..Financial and Insurance Activities";"Total Establishments";1455
"..Financial and Insurance Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";865
"..Financial and Insurance Activities";"....Cost of production inputs increased";203
"..Financial and Insurance Activities";"....Cost of production inputs decreased";443
"..Financial and Insurance Activities";"....Cost of production inputs did not change";33
"..Financial and Insurance Activities";"....Sales Position as Compared to June 2019 increased";44
"..Financial and Insurance Activities";"....Sales Position as Compared to June 2019 decreased";430
"..Financial and Insurance Activities";"....Sales Position as Compared to June 2019 did not change";15
"..Financial and Insurance Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";106
"..Financial and Insurance Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";93
"..Financial and Insurance Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";320
"..Financial and Insurance Activities";"....Work Arrangements Adopted by Reduced working hours";379
"..Financial and Insurance Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";108
"..Financial and Insurance Activities";"..None";590
"..Real Estate Activities";"Total Establishments";613
"..Real Estate Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";448
"..Real Estate Activities";"....Cost of production inputs increased";62
"..Real Estate Activities";"....Cost of production inputs decreased";174
"..Real Estate Activities";"....Cost of production inputs did not change";6
"..Real Estate Activities";"....Sales Position as Compared to June 2019 increased";6
"..Real Estate Activities";"....Sales Position as Compared to June 2019 decreased";283
"..Real Estate Activities";"....Sales Position as Compared to June 2019 did not change";8
"..Real Estate Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";12
"..Real Estate Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";59
"..Real Estate Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";140
"..Real Estate Activities";"....Work Arrangements Adopted by Reduced working hours";306
"..Real Estate Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";102
"..Real Estate Activities";"..None";165
"..Professional, Scientific and Technical Activities";"Total Establishments";846
"..Professional, Scientific and Technical Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";664
"..Professional, Scientific and Technical Activities";"....Cost of production inputs increased";13
"..Professional, Scientific and Technical Activities";"....Cost of production inputs decreased";348
"..Professional, Scientific and Technical Activities";"....Cost of production inputs did not change";34
"..Professional, Scientific and Technical Activities";"....Sales Position as Compared to June 2019 increased";3
"..Professional, Scientific and Technical Activities";"....Sales Position as Compared to June 2019 decreased";362
"..Professional, Scientific and Technical Activities";"....Sales Position as Compared to June 2019 did not change";56
"..Professional, Scientific and Technical Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";34
"..Professional, Scientific and Technical Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";26
"..Professional, Scientific and Technical Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";367
"..Professional, Scientific and Technical Activities";"....Work Arrangements Adopted by Reduced working hours";328
"..Professional, Scientific and Technical Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";73
"..Professional, Scientific and Technical Activities";"..None";182
"..Administrative and Support Service Activities";"Total Establishments";2445
"..Administrative and Support Service Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";1768
"..Administrative and Support Service Activities";"....Cost of production inputs increased";219
"..Administrative and Support Service Activities";"....Cost of production inputs decreased";704
"..Administrative and Support Service Activities";"....Cost of production inputs did not change";203
"..Administrative and Support Service Activities";"....Sales Position as Compared to June 2019 increased";52
"..Administrative and Support Service Activities";"....Sales Position as Compared to June 2019 decreased";895
"..Administrative and Support Service Activities";"....Sales Position as Compared to June 2019 did not change";215
"..Administrative and Support Service Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";211
"..Administrative and Support Service Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";204
"..Administrative and Support Service Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";1101
"..Administrative and Support Service Activities";"....Work Arrangements Adopted by Reduced working hours";798
"..Administrative and Support Service Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";445
"..Administrative and Support Service Activities";"..None";678
"..Education Except Public Education";"Total Establishments";3894
"..Education Except Public Education";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";3006
"..Education Except Public Education";"....Cost of production inputs increased";228
"..Education Except Public Education";"....Cost of production inputs decreased";1059
"..Education Except Public Education";"....Cost of production inputs did not change";133
"..Education Except Public Education";"....Sales Position as Compared to June 2019 increased";110
"..Education Except Public Education";"....Sales Position as Compared to June 2019 decreased";1287
"..Education Except Public Education";"....Sales Position as Compared to June 2019 did not change";114
"..Education Except Public Education";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";799
"..Education Except Public Education";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";187
"..Education Except Public Education";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";1896
"..Education Except Public Education";"....Work Arrangements Adopted by Reduced working hours";1459
"..Education Except Public Education";"....Work Arrangements Adopted by Temporarily laid-off of workers";528
"..Education Except Public Education";"..None";888
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";1378
"..Human Health and Social Work Activities Except Public Health Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";877
"..Human Health and Social Work Activities Except Public Health Activities";"....Cost of production inputs increased";166
"..Human Health and Social Work Activities Except Public Health Activities";"....Cost of production inputs decreased";385
"..Human Health and Social Work Activities Except Public Health Activities";"....Cost of production inputs did not change";26
"..Human Health and Social Work Activities Except Public Health Activities";"....Sales Position as Compared to June 2019 increased";24
"..Human Health and Social Work Activities Except Public Health Activities";"....Sales Position as Compared to June 2019 decreased";684
"..Human Health and Social Work Activities Except Public Health Activities";"....Sales Position as Compared to June 2019 did not change";13
"..Human Health and Social Work Activities Except Public Health Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";98
"..Human Health and Social Work Activities Except Public Health Activities";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";44
"..Human Health and Social Work Activities Except Public Health Activities";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";242
"..Human Health and Social Work Activities Except Public Health Activities";"....Work Arrangements Adopted by Reduced working hours";448
"..Human Health and Social Work Activities Except Public Health Activities";"....Work Arrangements Adopted by Temporarily laid-off of workers";74
"..Human Health and Social Work Activities Except Public Health Activities";"..None";501
"..Arts, Entertainment and  Recreation";"Total Establishments";202
"..Arts, Entertainment and  Recreation";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";102
"..Arts, Entertainment and  Recreation";"....Cost of production inputs increased";2
"..Arts, Entertainment and  Recreation";"....Cost of production inputs decreased";79
"..Arts, Entertainment and  Recreation";"....Cost of production inputs did not change";2
"..Arts, Entertainment and  Recreation";"....Sales Position as Compared to June 2019 increased";0
"..Arts, Entertainment and  Recreation";"....Sales Position as Compared to June 2019 decreased";90
"..Arts, Entertainment and  Recreation";"....Sales Position as Compared to June 2019 did not change";0
"..Arts, Entertainment and  Recreation";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";49
"..Arts, Entertainment and  Recreation";"....Work Arrangements Adopted by Stopped operations, and did not compensate workers";38
"..Arts, Entertainment and  Recreation";"....Work Arrangements Adopted by Implemented Work-From-Home arrangements";21
"..Arts, Entertainment and  Recreation";"....Work Arrangements Adopted by Reduced working hours";46
"..Arts, Entertainment and  Recreation";"....Work Arrangements Adopted by Temporarily laid-off of workers";18
"..Arts, Entertainment and  Recreation";"..None";99
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";317
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Total Establishment Whose Business Operations Affected by Quarantines and Lockdowns";266
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Cost of production inputs increased";31
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Cost of production inputs decreased";157
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Cost of production inputs did not change";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Sales Position as Compared to June 2019 increased";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Sales Position as Compared to June 2019 decreased";163
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Sales Position as Compared to June 2019 did not change";11
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Work Arrangements Adopted by Stopped operations, but continued compensating workers";62
