"Cases of Occupational Injuries in Establishments Employing 20 or More Workers by Industry Group and Incapacity for Work, Philippines: 2013-2021"

"Major Industry Group";"2013 TOTAL";"2013 ..With Workdays Lost";"2013 ....Fatal";"2013 ....Non-Fatal";"2013 ......Permanent Incapacity";"2013 ......Temporary Incapacity";"2013 ..Without Workdays Lost";"2015 TOTAL";"2015 ..With Workdays Lost";"2015 ....Fatal";"2015 ....Non-Fatal";"2015 ......Permanent Incapacity";"2015 ......Temporary Incapacity";"2015 ..Without Workdays Lost";"2017 TOTAL";"2017 ..With Workdays Lost";"2017 ....Fatal";"2017 ....Non-Fatal";"2017 ......Permanent Incapacity";"2017 ......Temporary Incapacity";"2017 ..Without Workdays Lost";"2019 TOTAL";"2019 ..With Workdays Lost";"2019 ....Fatal";"2019 ....Non-Fatal";"2019 ......Permanent Incapacity";"2019 ......Temporary Incapacity";"2019 ..Without Workdays Lost";"2021 TOTAL";"2021 ..With Workdays Lost";"2021 ....Fatal";"2021 ....Non-Fatal";"2021 ......Permanent Incapacity";"2021 ......Temporary Incapacity";"2021 ..Without Workdays Lost"
"ALL INDUSTRIES";49118;20702;270;20432;175;20257;28416;50961;17859;156;17703;358;17346;33102;46283;20797;469;20328;223;20105;25485;40892;17762;310;17452;75;17377;23130;27636;12076;169;11907;194;11713;15560
"..Agriculture, Forestry and Fishing";3770;2846;102;2744;3;2741;924;3236;1877;15;1862;132;1731;1358;2194;1466;12;1454;2;1452;727;1144;766;..;766;3;763;379;1894;1498;5;1493;5;1488;396
"..Mining and Quarrying";789;136;23;113;..;113;653;528;59;7;52;..;52;468;486;98;10;88;3;85;389;244;56;1;55;5;50;188;204;94;3;91;..;91;109
"..Manufacturing";23641;10126;39;10087;75;10012;13515;25667;8602;12;8589;57;8532;17065;23003;9157;124;9034;46;8988;13845;17454;8056;137;7919;56;7863;9398;13364;5030;72;4958;64;4894;8334
"..Electricity, Gas, Steam and Air Conditioning Supply";838;399;11;388;..;388;439;684;408;17;391;13;378;276;676;483;38;445;19;426;193;628;300;17;282;3;279;328;475;299;9;290;4;287;176
"..Water Supply; Sewerage, Waste Management and Remediation Activities";514;184;8;176;..;176;330;248;115;1;114;..;114;133;284;172;2;170;3;167;111;136;33;..;33;..;33;103;224;107;1;106;2;103;117
"..Construction";2115;525;1;524;..;524;1590;2115;715;13;702;14;689;1399;1986;826;24;802;10;792;1159;3870;1436;58;1378;5;1373;2434;2309;810;27;783;27;756;1499
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";5734;2155;13;2142;..;2142;3579;5799;2045;16;2028;78;1951;3754;5259;2488;75;2413;77;2336;2771;3341;1497;8;1489;..;1489;1844;2280;938;6;932;58;873;1342
"..Transportation and Storage";1628;1163;18;1145;74;1071;465;2452;1037;38;999;31;968;1415;1607;1022;22;999;10;990;585;1767;1171;3;1168;..;1168;596;759;396;8;388;3;385;362
"..Accommodation and Food Service Activities";4487;1199;28;1171;..;1171;3288;4995;1015;20;995;7;988;3979;2959;1395;32;1362;7;1355;1564;3824;1136;2;1135;..;1135;2688;1418;452;9;443;14;429;967
"..Information and Communication";163;42;..;42;7;35;121;135;45;1;44;..;44;89;308;129;6;123;..;123;180;172;110;..;110;..;110;62;172;63;6;57;..;57;110
"..Financial and Insurance Activities";495;363;..;363;1;362;132;341;283;1;282;..;282;58;468;194;8;185;9;176;274;378;250;9;241;4;237;128;697;324;9;315;2;313;373
"..Real Estate Activities";309;80;..;80;..;80;229;149;44;..;44;..;44;105;198;126;4;122;..;122;72;49;20;3;17;..;17;29;263;70;..;70;..;70;192
"..Professional, Scientific and Technical Activities";316;119;18;101;1;100;197;159;54;1;53;..;53;105;533;338;72;266;7;259;196;136;32;..;32;..;32;104;100;55;5;50;..;50;44
"..Administrative and Support Service Activities";2490;868;7;861;3;858;1622;1303;669;6;663;24;639;633;3348;2154;32;2122;23;2099;1194;4538;2238;72;2167;..;2167;2300;1837;1417;6;1412;10;1402;420
"..Education Except Public Education";932;156;1;155;..;155;776;1591;310;1;309;1;308;1281;1577;257;..;257;6;251;1320;1433;121;..;121;..;121;1311;551;120;1;119;..;119;431
"..Human Health and Social Work Activities Except Public Health Activities";645;288;1;287;1;286;357;750;270;6;264;1;263;481;919;207;8;199;..;199;712;965;428;..;428;..;428;537;654;155;1;153;4;149;499
"..Arts, Entertainment and Recreation";156;12;..;12;10;2;144;674;250;..;250;..;250;424;460;271;..;271;..;271;189;807;105;..;105;..;105;702;384;213;..;213;..;213;171
"..Other Service Activities except Activities of Membership Organizations";96;41;..;41;..;41;55;136;59;..;59;..;59;77;19;14;..;14;..;14;4;7;7;..;7;..;7;..;52;34;..;34;..;34;18
