"Number and Percent Share of Establishments with 20 or More Workers with Agency-Hired Workers by Major Industry Group, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ESGW/6001B3GE110.px/table/tableViewLayout1/?rxid=35bcaecd-93bf-46d3-bfca-3693580d69a7"
"Major Industry Group";"2014 Total Establishments";"2014 Establishments With Agency-Hired Workers";"2014 Percent to total";"2016 Total Establishments";"2016 Establishments With Agency-Hired Workers";"2016 Percent to total";"2018 Total Establishments";"2018 Establishments With Agency-Hired Workers";"2018 Percent to total";"2020 Total Establishments";"2020 Establishments With Agency-Hired Workers";"2020 Percent to total";"2022 Total Establishments";"2022 Establishments With Agency-Hired Workers";"2022 Percent to total"
"ALL INDUSTRIES";35214;21650;61.5;31277;17094;54.7;32517;17364;53.4;34543;14708;42.6;36342;16954;46.7
"..Agriculture, Forestry and Fishing";1370;662;48.3;1151;523;45.5;1147;487;42.5;951;261;27.5;1125;388;34.5
"..Mining and Quarrying";195;110;56.4;156;98;62.4;152;84;55.3;150;72;47.9;165;85;51.6
"..Manufacturing";6562;4567;69.6;6068;3748;61.8;5980;3585;59.9;5923;3394;57.3;6213;3483;56.1
"..Electricity, Gas, Steam and Air Conditioning Supply";422;311;73.7;249;194;78.0;282;216;76.5;263;209;79.5;296;231;78.2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";315;221;70.0;334;179;53.7;341;160;47.0;331;139;42.2;376;169;44.9
"..Construction";1042;460;44.1;986;407;41.2;1006;415;41.3;1193;330;27.7;1238;423;34.1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7744;4929;63.7;7127;3900;54.7;7829;4550;58.1;8681;3870;44.6;10198;5040;49.4
"..Transportation and Storage";1160;657;56.6;1063;488;45.9;1063;480;45.1;1043;354;33.9;1302;536;41.2
"..Accommodation and Food Service Activities";4775;3133;65.6;4197;2281;54.4;4220;2145;50.8;4070;1816;44.6;3620;1568;43.3
"..Information and Communication";926;473;51.1;808;413;51.2;782;342;43.7;788;256;32.5;865;326;37.7
"..Financial and Insurance Activities";1532;1051;68.6;1365;866;63.5;1332;795;59.7;1455;503;34.6;1855;1019;54.9
"..Real Estate Activities";508;312;61.4;410;243;59.2;454;240;53.0;613;205;33.4;676;424;62.8
"..Professional, Scientific and Technical Activities";744;377;50.6;654;292;44.6;750;300;40.0;846;166;19.6;752;240;31.9
"..Administrative and Support Services Activities";2145;666;31.1;1797;661;36.8;1935;681;35.2;2445;736;30.1;2530;733;29.0
"..Education except Public Education";4139;2692;65.0;3362;1913;56.9;3610;1915;53.0;3894;1590;40.8;3234;1307;40.4
"..Human Health and Social Work Activities except Public Health Activities";923;748;81.0;970;629;64.8;1048;728;69.5;1378;660;47.9;1365;823;60.3
"..Arts, Entertainment and Recreation";208;149;71.8;243;145;59.6;240;132;54.9;202;93;46.0;251;100;39.8
"..Other Service Activities except Activities of Membership Organizations";504;134;26.5;335;114;34.2;345;109;31.5;317;54;16.9;280;57;20.3
