"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Total Establishments Aware of ECP";"ALL INDUSTRIES";28189
"Total Establishments Aware of ECP";"..Agriculture, Forestry and Fishing";945
"Total Establishments Aware of ECP";"..Mining and Quarrying";136
"Total Establishments Aware of ECP";"..Manufacturing";5349
"Total Establishments Aware of ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";278
"Total Establishments Aware of ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";258
"Total Establishments Aware of ECP";"..Construction";883
"Total Establishments Aware of ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6783
"Total Establishments Aware of ECP";"..Transportation and Storage";910
"Total Establishments Aware of ECP";"..Accommodation and Food Service Activities";3610
"Total Establishments Aware of ECP";"..Information and Communication";676
"Total Establishments Aware of ECP";"..Financial and Insurance Activities";1210
"Total Establishments Aware of ECP";"..Real Estate Activities";397
"Total Establishments Aware of ECP";"..Professional, Scientific and Technical Activities";631
"Total Establishments Aware of ECP";"..Administrative and Support Service Activities";1719
"Total Establishments Aware of ECP";"..Education Except Public Education";2956
"Total Establishments Aware of ECP";"..Human Health and Social Work Activities Except Public Health Activities";944
"Total Establishments Aware of ECP";"..Arts, Entertainment and  Recreation";194
"Total Establishments Aware of ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";309
"Comics";"ALL INDUSTRIES";314
"Comics";"..Agriculture, Forestry and Fishing";6
"Comics";"..Mining and Quarrying";1
"Comics";"..Manufacturing";35
"Comics";"..Electricity, Gas, Steam and Air Conditioning Supply";2
"Comics";"..Water Supply; Sewerage, Waste Management and Remediation Activities";8
"Comics";"..Construction";7
"Comics";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";97
"Comics";"..Transportation and Storage";16
"Comics";"..Accommodation and Food Service Activities";34
"Comics";"..Information and Communication";7
"Comics";"..Financial and Insurance Activities";16
"Comics";"..Real Estate Activities";2
"Comics";"..Professional, Scientific and Technical Activities";2
"Comics";"..Administrative and Support Service Activities";24
"Comics";"..Education Except Public Education";38
"Comics";"..Human Health and Social Work Activities Except Public Health Activities";14
"Comics";"..Arts, Entertainment and  Recreation";..
"Comics";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";4
"Company/Co-workers";"ALL INDUSTRIES";7975
"Company/Co-workers";"..Agriculture, Forestry and Fishing";222
"Company/Co-workers";"..Mining and Quarrying";41
"Company/Co-workers";"..Manufacturing";1474
"Company/Co-workers";"..Electricity, Gas, Steam and Air Conditioning Supply";83
"Company/Co-workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";70
"Company/Co-workers";"..Construction";235
"Company/Co-workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1937
"Company/Co-workers";"..Transportation and Storage";247
"Company/Co-workers";"..Accommodation and Food Service Activities";1409
"Company/Co-workers";"..Information and Communication";199
"Company/Co-workers";"..Financial and Insurance Activities";336
"Company/Co-workers";"..Real Estate Activities";92
"Company/Co-workers";"..Professional, Scientific and Technical Activities";142
"Company/Co-workers";"..Administrative and Support Service Activities";460
"Company/Co-workers";"..Education Except Public Education";631
"Company/Co-workers";"..Human Health and Social Work Activities Except Public Health Activities";280
"Company/Co-workers";"..Arts, Entertainment and  Recreation";61
"Company/Co-workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";57
"Poster/Flyers";"ALL INDUSTRIES";3158
"Poster/Flyers";"..Agriculture, Forestry and Fishing";66
"Poster/Flyers";"..Mining and Quarrying";19
"Poster/Flyers";"..Manufacturing";644
"Poster/Flyers";"..Electricity, Gas, Steam and Air Conditioning Supply";27
"Poster/Flyers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";26
"Poster/Flyers";"..Construction";84
"Poster/Flyers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";721
"Poster/Flyers";"..Transportation and Storage";117
"Poster/Flyers";"..Accommodation and Food Service Activities";398
"Poster/Flyers";"..Information and Communication";47
"Poster/Flyers";"..Financial and Insurance Activities";95
"Poster/Flyers";"..Real Estate Activities";34
"Poster/Flyers";"..Professional, Scientific and Technical Activities";54
"Poster/Flyers";"..Administrative and Support Service Activities";187
"Poster/Flyers";"..Education Except Public Education";419
