"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2012-2013 to 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2001B3GO020.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Occupational Safety and Health Policy/Program";"Major Industry Group";"2012-2013";"2015";"2017"
"Total";"Total Establishments";34579;28799;30758
"Total";"..Agriculture, Forestry and Fishing";1258;861;984
"Total";"..Mining and Quarrying";189;138;152
"Total";"..Manufacturing";6555;5659;5725
"Total";"..Electricity, Gas, Steam and Air Conditioning Supply";422;245;279
"Total";"..Water Supply; Sewerage, Waste Management and Remediation Activities";314;277;312
"Total";"..Construction";1042;913;962
"Total";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7562;6554;7314
"Total";"..Transportation and Storage";1140;957;983
"Total";"..Accommodation and Food Service Activities";4670;3877;4080
"Total";"..Information and Communication";859;744;726
"Total";"..Financial and Insurance Activities";1510;1281;1298
"Total";"..Real Estate Activities";498;366;418
"Total";"..Professional, Scientific and Technical Activities";739;611;684
"Total";"..Administrative and Support Service Activities";2130;1692;1834
"Total";"..Education Except Public Education";4002;3184;3439
"Total";"..Human Health and Social Work Activities Except Public Health Activities";917;928;1035
"Total";"..Arts, Entertainment and  Recreation";248;222;207
"Total";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";488;290;326
"Hearing Conservation Program";"Total Establishments";4700;4704;5985
"Hearing Conservation Program";"..Agriculture, Forestry and Fishing";74;130;206
"Hearing Conservation Program";"..Mining and Quarrying";53;41;51
"Hearing Conservation Program";"..Manufacturing";1203;1297;1628
"Hearing Conservation Program";"..Electricity, Gas, Steam and Air Conditioning Supply";150;87;120
"Hearing Conservation Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";28;45;21
"Hearing Conservation Program";"..Construction";220;192;255
"Hearing Conservation Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";916;933;1050
"Hearing Conservation Program";"..Transportation and Storage";142;117;223
"Hearing Conservation Program";"..Accommodation and Food Service Activities";609;633;721
"Hearing Conservation Program";"..Information and Communication";87;91;136
"Hearing Conservation Program";"..Financial and Insurance Activities";120;112;186
"Hearing Conservation Program";"..Real Estate Activities";38;35;61
"Hearing Conservation Program";"..Professional, Scientific and Technical Activities";85;71;89
"Hearing Conservation Program";"..Administrative and Support Service Activities";272;312;404
"Hearing Conservation Program";"..Education Except Public Education";374;356;500
"Hearing Conservation Program";"..Human Health and Social Work Activities Except Public Health Activities";239;198;245
"Hearing Conservation Program";"..Arts, Entertainment and  Recreation";30;33;37
"Hearing Conservation Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";58;19;52
