"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2019 and 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2501B3GO021.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"OSH Policy/Program";"Major Industry Group";"2019";"2021"
"Total";"Establishments with Implemented OSH Policies/Programs";36694;33650
"Total";"..Agriculture, Forestry and Fishing";858;962
"Total";"..Mining and Quarrying";145;160
"Total";"..Manufacturing";6095;5808
"Total";"..Electricity, Gas, Steam and Air Conditioning Supply";285;290
"Total";"..Water Supply; Sewerage, Waste Management and Remediation Activities";338;323
"Total";"..Construction";1217;1180
"Total";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";9131;9381
"Total";"..Transportation and Storage";1071;1225
"Total";"..Accommodation and Food Service Activities";4716;3422
"Total";"..Information and Communication";1035;804
"Total";"..Financial and Insurance Activities";1676;1619
"Total";"..Real Estate Activities";602;616
"Total";"..Professional, Scientific and Technical Activities";869;682
"Total";"..Administrative and Support Service Activities";2619;2395
"Total";"..Education Except Public Education";3944;3001
"Total";"..Human Health and Social Work Activities Except Public Health Activities";1434;1316
"Total";"..Arts, Entertainment and  Recreation";312;216
"Total";"..Other Service Activities Except Activities of Membership Organization";346;250
"Comprehensive Policy on OSH";"Establishments with Implemented OSH Policies/Programs";24911;18593
"Comprehensive Policy on OSH";"..Agriculture, Forestry and Fishing";440;335
"Comprehensive Policy on OSH";"..Mining and Quarrying";112;90
"Comprehensive Policy on OSH";"..Manufacturing";4498;3293
"Comprehensive Policy on OSH";"..Electricity, Gas, Steam and Air Conditioning Supply";222;221
"Comprehensive Policy on OSH";"..Water Supply; Sewerage, Waste Management and Remediation Activities";185;138
"Comprehensive Policy on OSH";"..Construction";982;767
"Comprehensive Policy on OSH";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5963;5388
"Comprehensive Policy on OSH";"..Transportation and Storage";768;556
"Comprehensive Policy on OSH";"..Accommodation and Food Service Activities";3571;2299
"Comprehensive Policy on OSH";"..Information and Communication";734;446
"Comprehensive Policy on OSH";"..Financial and Insurance Activities";979;787
"Comprehensive Policy on OSH";"..Real Estate Activities";385;338
"Comprehensive Policy on OSH";"..Professional, Scientific and Technical Activities";636;350
"Comprehensive Policy on OSH";"..Administrative and Support Service Activities";2058;1478
"Comprehensive Policy on OSH";"..Education Except Public Education";1955;1129
"Comprehensive Policy on OSH";"..Human Health and Social Work Activities Except Public Health Activities";1153;821
