"Number of Vacancies in Establishments with 20 or More Workers by Occupation and Status of Employment with 20 or more Workers, Philippines: July 2017 - June 2018 to September 2021 - August 2022"

"Major Occupation Group";"2018 Total Number of Vacancies";"2018 ..Regular position";"2018 ..Non-regular position";"2020 Total Number of Vacancies";"2020 ..Regular position";"2020 ..Non-regular position";"2022 Total Number of Vacancies";"2022 ..Regular position";"2022 ..Non-regular position"
"ALL OCCUPATIONS";811775;549090;262685;315134;212026;103108;464593;345307;119286
"..Managers";22462;17729;4733;2309;2214;96;11524;10087;1437
"..Professionals";83622;67439;16183;46442;38973;7469;83407;69324;14083
"..Technicians and associate professionals";118623;86100;32522;42921;34224;8697;67170;56532;10638
"..Clerical support workers";298005;254033;43973;83578;61973;21604;143830;120213;23617
"..Service and sales workers";106350;69303;37047;43805;27969;15836;62887;38631;24256
"..Skilled agricultural, forestry and fishery workers";1677;1115;561;236;150;86;2151;384;1767
"..Craft and related trades workers";46091;17135;28956;23147;9439;13709;17188;9479;7709
"..Plant and machine operators and assemblers";30842;18699;12143;47462;24721;22741;55555;33327;22227
"..Elementary occupations";104103;17536;86566;25234;12364;12870;20882;7330;13553
