"Number of Vacancies in Establishments with 20 or More Workers by Occupation and Status of Employment, Philippines: January 2013 - June 2014 to January 2015 - June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/5501B3GS060.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Occupation Group";"2014 Total";"2014 ..Regular";"2014 ..Non-Regular";"2014 Total Number of Vacancies";"2014 ..Regular position";"2014 ..Non-regular position";"2016 Total";"2016 ..Regular";"2016 ..Non-Regular";"2016 Total Number of Vacancies";"2016 ..Regular position";"2016 ..Non-regular position"
"ALL OCCUPATIONS";753092;496525;256567;..;..;..;..;..;..;698683;460069;238614
"..Corporate Executives, Managers, Managing Proprietors and Supervisors";17433;15955;1478;..;..;..;..;..;..;14887;13973;913
"..Professionals";92473;74558;17916;..;..;..;..;..;..;91175;73666;17509
"..Technicians and Associate Professionals";70569;53487;17082;..;..;..;..;..;..;83340;57306;26034
"..Clerks";362465;296853;65612;..;..;..;..;..;..;227100;189082;38018
"..Service Workers and Shop and Market Sales Workers";78500;24182;54318;..;..;..;..;..;..;115373;48568;66805
"..Farmers, Forestry Workers and Fishermen";910;749;161;..;..;..;..;..;..;2069;531;1538
"..Craft and Related Trades Workers";36987;9014;27973;..;..;..;..;..;..;53028;27720;25307
"..Plant and Machine Operators and Assemblers";56513;15095;41418;..;..;..;..;..;..;59737;28625;31112
"..Laborers and Unskilled Workers";37243;6633;30610;..;..;..;..;..;..;51974;20598;31376
