"Number and Percent Share of Establishments with 20 or More Workers with Agency-Hired Workers by Region: August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ESGW/6251B3GE111.px/table/tableViewLayout1/?rxid=35bcaecd-93bf-46d3-bfca-3693580d69a7"
"REGION";"2022 Total Establishments";"2022 ..Establishments With Agency-Hired Workers";"2022 ..Percent to total"
"PHILIPPINES";36342;16954;46.7
"..National Capital Region";9728;4531;46.6
"..Cordillera Administrative Region";880;278;31.6
"..Region I - Ilocos Region";1362;521;38.2
"..Region II - Cagayan Valley";960;319;33.2
"..Region III - Central Luzon";3400;1632;48.0
"..Region IV-A - CALABARZON";3885;1941;50.0
"..MIMAROPA Region";861;284;33.0
"..Region V - Bicol Region";1352;562;41.5
"..Region VI - Western Visayas";2111;944;44.7
"..Region VII - Central Visayas";3173;1943;61.2
"..Region VIII - Eastern Visayas";1137;402;35.3
"..Region IX - Zamboanga Peninsula";1171;596;50.9
"..Region X - Northern Mindanao";1725;879;50.9
"..Region XI - Davao Region";2029;880;43.4
"..Region XII - SOCCSKSARGEN";1443;729;50.5
"..Region XIII - CARAGA";867;401;46.3
"..Bangsamoro Autonomous Region in Muslim Mindanao";256;112;43.8
