"Number of Establishments Employing 20 or More Workers by Sources of Funds During Quarantine/Lockdown and Major Industry Group, Philippines:  June 30, 2020"

"Major Industry Group";"Sources of Funds During Quarantine/Lockdown";"2020"
"ALL INDUSTRIES";"Total Establishments";34543
"ALL INDUSTRIES";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";15386
"ALL INDUSTRIES";"....Early payments from customers";5089
"ALL INDUSTRIES";"....Delayed payments to suppliers";7024
"ALL INDUSTRIES";"....Delayed payment of taxes";1850
"ALL INDUSTRIES";"....Loans from family/friends";1588
"ALL INDUSTRIES";"....Loans from banks";3769
"ALL INDUSTRIES";"....Loans from informal lenders";407
"ALL INDUSTRIES";"....Loans from non-bank financial institutions";741
"ALL INDUSTRIES";"....Loans from digital financing platforms";134
"ALL INDUSTRIES";"....Loans from government institutions";655
"ALL INDUSTRIES";"....Others";2325
"ALL INDUSTRIES";"..None";19157
"..Agriculture, Forestry and Fishing";"Total Establishments";951
"..Agriculture, Forestry and Fishing";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";241
"..Agriculture, Forestry and Fishing";"....Early payments from customers";22
"..Agriculture, Forestry and Fishing";"....Delayed payments to suppliers";168
"..Agriculture, Forestry and Fishing";"....Delayed payment of taxes";38
"..Agriculture, Forestry and Fishing";"....Loans from family/friends";5
"..Agriculture, Forestry and Fishing";"....Loans from banks";45
"..Agriculture, Forestry and Fishing";"....Loans from informal lenders";0
"..Agriculture, Forestry and Fishing";"....Loans from non-bank financial institutions";10
"..Agriculture, Forestry and Fishing";"....Loans from digital financing platforms";3
"..Agriculture, Forestry and Fishing";"....Loans from government institutions";3
"..Agriculture, Forestry and Fishing";"....Others";3
"..Agriculture, Forestry and Fishing";"..None";710
"..Mining and Quarrying";"Total Establishments";150
"..Mining and Quarrying";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";52
"..Mining and Quarrying";"....Early payments from customers";8
"..Mining and Quarrying";"....Delayed payments to suppliers";34
"..Mining and Quarrying";"....Delayed payment of taxes";7
"..Mining and Quarrying";"....Loans from family/friends";6
"..Mining and Quarrying";"....Loans from banks";7
"..Mining and Quarrying";"....Loans from informal lenders";0
"..Mining and Quarrying";"....Loans from non-bank financial institutions";0
"..Mining and Quarrying";"....Loans from digital financing platforms";0
"..Mining and Quarrying";"....Loans from government institutions";0
"..Mining and Quarrying";"....Others";8
"..Mining and Quarrying";"..None";98
"..Manufacturing";"Total Establishments";5923
"..Manufacturing";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";3052
"..Manufacturing";"....Early payments from customers";992
"..Manufacturing";"....Delayed payments to suppliers";1753
"..Manufacturing";"....Delayed payment of taxes";463
"..Manufacturing";"....Loans from family/friends";261
"..Manufacturing";"....Loans from banks";984
"..Manufacturing";"....Loans from informal lenders";91
"..Manufacturing";"....Loans from non-bank financial institutions";91
"..Manufacturing";"....Loans from digital financing platforms";45
"..Manufacturing";"....Loans from government institutions";81
"..Manufacturing";"....Others";239
"..Manufacturing";"..None";2871
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";263
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";63
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Early payments from customers";19
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Delayed payments to suppliers";38
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Delayed payment of taxes";7
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Loans from family/friends";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Loans from banks";8
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Loans from informal lenders";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Loans from non-bank financial institutions";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Loans from digital financing platforms";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Loans from government institutions";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Others";13
"..Electricity, Gas, Steam and Air Conditioning Supply";"..None";200
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";331
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";167
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Early payments from customers";53
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Delayed payments to suppliers";82
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Delayed payment of taxes";10
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Loans from family/friends";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Loans from banks";13
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Loans from informal lenders";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Loans from non-bank financial institutions";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Loans from digital financing platforms";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Loans from government institutions";18
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Others";43
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..None";164
"..Construction";"Total Establishments";1193
"..Construction";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";734
"..Construction";"....Early payments from customers";177
"..Construction";"....Delayed payments to suppliers";346
"..Construction";"....Delayed payment of taxes";127
"..Construction";"....Loans from family/friends";120
"..Construction";"....Loans from banks";202
"..Construction";"....Loans from informal lenders";38
"..Construction";"....Loans from non-bank financial institutions";13
"..Construction";"....Loans from digital financing platforms";1
"..Construction";"....Loans from government institutions";81
"..Construction";"....Others";93
"..Construction";"..None";459
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";8681
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";3022
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Early payments from customers";1238
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Delayed payments to suppliers";1543
