"Number of Establishments Employing 20 or More Workers by Type of ECP Information Learned from Source/s and Major Industry Group, Philippines:  2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0041B3E9040.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Type of ECP Information Learned from Source/s";"Major Industry Group";"2017"
"Total Establishments Aware of ECP";"ALL INDUSTRIES";28189
"Total Establishments Aware of ECP";"..Agriculture, Forestry and Fishing";945
"Total Establishments Aware of ECP";"..Mining and Quarrying";136
"Total Establishments Aware of ECP";"..Manufacturing";5349
"Total Establishments Aware of ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";278
"Total Establishments Aware of ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";258
"Total Establishments Aware of ECP";"..Construction";883
"Total Establishments Aware of ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6783
"Total Establishments Aware of ECP";"..Transportation and Storage";910
"Total Establishments Aware of ECP";"..Accommodation and Food Service Activities";3610
"Total Establishments Aware of ECP";"..Information and Communication";676
"Total Establishments Aware of ECP";"..Financial and Insurance Activities";1210
"Total Establishments Aware of ECP";"..Real Estate Activities";397
"Total Establishments Aware of ECP";"..Professional, Scientific and Technical Activities";631
"Total Establishments Aware of ECP";"..Administrative and Support Service Activities";1719
"Total Establishments Aware of ECP";"..Education Except Public Education";2956
"Total Establishments Aware of ECP";"..Human Health and Social Work Activities Except Public Health Activities";944
"Total Establishments Aware of ECP";"..Arts, Entertainment and  Recreation";194
"Total Establishments Aware of ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";309
"Benefits for Workers with Work-Related Contingencies";"ALL INDUSTRIES";26441
"Benefits for Workers with Work-Related Contingencies";"..Agriculture, Forestry and Fishing";872
"Benefits for Workers with Work-Related Contingencies";"..Mining and Quarrying";131
"Benefits for Workers with Work-Related Contingencies";"..Manufacturing";4974
"Benefits for Workers with Work-Related Contingencies";"..Electricity, Gas, Steam and Air Conditioning Supply";269
"Benefits for Workers with Work-Related Contingencies";"..Water Supply; Sewerage, Waste Management and Remediation Activities";236
"Benefits for Workers with Work-Related Contingencies";"..Construction";820
"Benefits for Workers with Work-Related Contingencies";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6393
"Benefits for Workers with Work-Related Contingencies";"..Transportation and Storage";863
"Benefits for Workers with Work-Related Contingencies";"..Accommodation and Food Service Activities";3389
"Benefits for Workers with Work-Related Contingencies";"..Information and Communication";638
"Benefits for Workers with Work-Related Contingencies";"..Financial and Insurance Activities";1162
