"Number of Establishments Employing 20 or More Workers by Type of Information on Benefits and Services Learned and Major Industry Group, Philippines: 2017"

"Type of Information on Benefits and Services Learned";"Major Industry Group";"2017"
"Total Establishments Aware of ECP";"ALL INDUSTRIES";28189
"Total Establishments Aware of ECP";"..Agriculture, Forestry and Fishing";945
"Total Establishments Aware of ECP";"..Mining and Quarrying";136
"Total Establishments Aware of ECP";"..Manufacturing";5349
"Total Establishments Aware of ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";278
"Total Establishments Aware of ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";258
"Total Establishments Aware of ECP";"..Construction";883
"Total Establishments Aware of ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6783
"Total Establishments Aware of ECP";"..Transportation and Storage";910
"Total Establishments Aware of ECP";"..Accommodation and Food Service Activities";3610
"Total Establishments Aware of ECP";"..Information and Communication";676
"Total Establishments Aware of ECP";"..Financial and Insurance Activities";1210
"Total Establishments Aware of ECP";"..Real Estate Activities";397
"Total Establishments Aware of ECP";"..Professional, Scientific and Technical Activities";631
"Total Establishments Aware of ECP";"..Administrative and Support Service Activities";1719
"Total Establishments Aware of ECP";"..Education Except Public Education";2956
"Total Establishments Aware of ECP";"..Human Health and Social Work Activities Except Public Health Activities";944
"Total Establishments Aware of ECP";"..Arts, Entertainment and  Recreation";194
"Total Establishments Aware of ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";309
"Information on Cash Income Benefits";"ALL INDUSTRIES";14420
"Information on Cash Income Benefits";"..Agriculture, Forestry and Fishing";441
"Information on Cash Income Benefits";"..Mining and Quarrying";72
"Information on Cash Income Benefits";"..Manufacturing";2758
"Information on Cash Income Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";175
"Information on Cash Income Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";147
"Information on Cash Income Benefits";"..Construction";444
"Information on Cash Income Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3477
"Information on Cash Income Benefits";"..Transportation and Storage";421
"Information on Cash Income Benefits";"..Accommodation and Food Service Activities";1970
"Information on Cash Income Benefits";"..Information and Communication";343
"Information on Cash Income Benefits";"..Financial and Insurance Activities";613
"Information on Cash Income Benefits";"..Real Estate Activities";193
"Information on Cash Income Benefits";"..Professional, Scientific and Technical Activities";290
"Information on Cash Income Benefits";"..Administrative and Support Service Activities";850
"Information on Cash Income Benefits";"..Education Except Public Education";1500
"Information on Cash Income Benefits";"..Human Health and Social Work Activities Except Public Health Activities";493
"Information on Cash Income Benefits";"..Arts, Entertainment and  Recreation";71
"Information on Cash Income Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";160
"Information on Disability Benefits";"ALL INDUSTRIES";18750
"Information on Disability Benefits";"..Agriculture, Forestry and Fishing";602
"Information on Disability Benefits";"..Mining and Quarrying";113
"Information on Disability Benefits";"..Manufacturing";3717
"Information on Disability Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";214
"Information on Disability Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";203
"Information on Disability Benefits";"..Construction";583
"Information on Disability Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4215
"Information on Disability Benefits";"..Transportation and Storage";613
"Information on Disability Benefits";"..Accommodation and Food Service Activities";2317
"Information on Disability Benefits";"..Information and Communication";480
"Information on Disability Benefits";"..Financial and Insurance Activities";818
"Information on Disability Benefits";"..Real Estate Activities";263
"Information on Disability Benefits";"..Professional, Scientific and Technical Activities";394
"Information on Disability Benefits";"..Administrative and Support Service Activities";1195
"Information on Disability Benefits";"..Education Except Public Education";2022
"Information on Disability Benefits";"..Human Health and Social Work Activities Except Public Health Activities";678
"Information on Disability Benefits";"..Arts, Entertainment and  Recreation";122
"Information on Disability Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";201
"Information on Medical Benefits";"ALL INDUSTRIES";22987
"Information on Medical Benefits";"..Agriculture, Forestry and Fishing";732
"Information on Medical Benefits";"..Mining and Quarrying";118
"Information on Medical Benefits";"..Manufacturing";4371
"Information on Medical Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";228
"Information on Medical Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";204
"Information on Medical Benefits";"..Construction";707
"Information on Medical Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5217
"Information on Medical Benefits";"..Transportation and Storage";749
"Information on Medical Benefits";"..Accommodation and Food Service Activities";3087
"Information on Medical Benefits";"..Information and Communication";536
"Information on Medical Benefits";"..Financial and Insurance Activities";1039
"Information on Medical Benefits";"..Real Estate Activities";321
"Information on Medical Benefits";"..Professional, Scientific and Technical Activities";506
"Information on Medical Benefits";"..Administrative and Support Service Activities";1454
"Information on Medical Benefits";"..Education Except Public Education";2500
"Information on Medical Benefits";"..Human Health and Social Work Activities Except Public Health Activities";790
"Information on Medical Benefits";"..Arts, Entertainment and  Recreation";170
"Information on Medical Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";258
"Information on Death/Funeral Benefits";"ALL INDUSTRIES";14687
"Information on Death/Funeral Benefits";"..Agriculture, Forestry and Fishing";530
"Information on Death/Funeral Benefits";"..Mining and Quarrying";94
"Information on Death/Funeral Benefits";"..Manufacturing";2772
"Information on Death/Funeral Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";171
"Information on Death/Funeral Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";161
"Information on Death/Funeral Benefits";"..Construction";467
"Information on Death/Funeral Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3380
"Information on Death/Funeral Benefits";"..Transportation and Storage";531
"Information on Death/Funeral Benefits";"..Accommodation and Food Service Activities";1825
"Information on Death/Funeral Benefits";"..Information and Communication";364
"Information on Death/Funeral Benefits";"..Financial and Insurance Activities";673
"Information on Death/Funeral Benefits";"..Real Estate Activities";198
"Information on Death/Funeral Benefits";"..Professional, Scientific and Technical Activities";298
"Information on Death/Funeral Benefits";"..Administrative and Support Service Activities";926
"Information on Death/Funeral Benefits";"..Education Except Public Education";1590
"Information on Death/Funeral Benefits";"..Human Health and Social Work Activities Except Public Health Activities";467
"Information on Death/Funeral Benefits";"..Arts, Entertainment and  Recreation";90
"Information on Death/Funeral Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";150
"Information on Carer's Allowance Benefits";"ALL INDUSTRIES";3494
"Information on Carer's Allowance Benefits";"..Agriculture, Forestry and Fishing";113
"Information on Carer's Allowance Benefits";"..Mining and Quarrying";9
"Information on Carer's Allowance Benefits";"..Manufacturing";676
"Information on Carer's Allowance Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";57
"Information on Carer's Allowance Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";49
"Information on Carer's Allowance Benefits";"..Construction";93
"Information on Carer's Allowance Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";620
"Information on Carer's Allowance Benefits";"..Transportation and Storage";107
"Information on Carer's Allowance Benefits";"..Accommodation and Food Service Activities";537
"Information on Carer's Allowance Benefits";"..Information and Communication";95
"Information on Carer's Allowance Benefits";"..Financial and Insurance Activities";219
"Information on Carer's Allowance Benefits";"..Real Estate Activities";52
"Information on Carer's Allowance Benefits";"..Professional, Scientific and Technical Activities";66
"Information on Carer's Allowance Benefits";"..Administrative and Support Service Activities";200
"Information on Carer's Allowance Benefits";"..Education Except Public Education";411
"Information on Carer's Allowance Benefits";"..Human Health and Social Work Activities Except Public Health Activities";115
"Information on Carer's Allowance Benefits";"..Arts, Entertainment and  Recreation";39
"Information on Carer's Allowance Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";38
"Information on Survivorship Pension Benefits";"ALL INDUSTRIES";4026
"Information on Survivorship Pension Benefits";"..Agriculture, Forestry and Fishing";159
"Information on Survivorship Pension Benefits";"..Mining and Quarrying";19
"Information on Survivorship Pension Benefits";"..Manufacturing";739
"Information on Survivorship Pension Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";70
"Information on Survivorship Pension Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";102
"Information on Survivorship Pension Benefits";"..Construction";106
"Information on Survivorship Pension Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";839
"Information on Survivorship Pension Benefits";"..Transportation and Storage";122
"Information on Survivorship Pension Benefits";"..Accommodation and Food Service Activities";518
"Information on Survivorship Pension Benefits";"..Information and Communication";93
"Information on Survivorship Pension Benefits";"..Financial and Insurance Activities";208
"Information on Survivorship Pension Benefits";"..Real Estate Activities";57
"Information on Survivorship Pension Benefits";"..Professional, Scientific and Technical Activities";84
"Information on Survivorship Pension Benefits";"..Administrative and Support Service Activities";216
"Information on Survivorship Pension Benefits";"..Education Except Public Education";469
