"Total Employment and Number of Commission and Output-Rated Workers in Establishments with 20 or More Workers by Type, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Commission Workers (CW)";"2014 ..CW_With Basic Pay and Commission";"2014 ..CW_Purely on Commission With Employer Control and Supervision";"2014 ..CW_Purely on Commission Without Employer Control and Supervision";"2014 Output-rated Workers (ORW)";"2014 ..ORW_Piece-rated Workers";"2014 ..ORW_Quota Workers";"2014 ..ORW_Pakyao or Takay Workers";"2014 ..ORW_Task Workers";"2016 Commission Workers (CW)";"2016 ..CW_With Basic Pay and Commission";"2016 ..CW_Purely on Commission With Employer Control and Supervision";"2016 ..CW_Purely on Commission Without Employer Control and Supervision";"2016 Output-rated Workers (ORW)";"2016 ..ORW_Piece-rated Workers";"2016 ..ORW_Quota Workers";"2016 ..ORW_Pakyao or Takay Workers";"2016 ..ORW_Task Workers";"2018 Commission Workers (CW)";"2018 ..CW_With Basic Pay and Commission";"2018 ..CW_Purely on Commission With Employer Control and Supervision";"2018 ..CW_Purely on Commission Without Employer Control and Supervision";"2018 Output-rated Workers (ORW)";"2018 ..ORW_Piece-rated Workers";"2018 ..ORW_Quota Workers";"2018 ..ORW_Pakyao or Takay Workers";"2018 ..ORW_Task Workers";"2020 Commission Workers (CW)";"2020 ..CW_With Basic Pay and Commission";"2020 ..CW_Purely on Commission With Employer Control and Supervision";"2020 ..CW_Purely on Commission Without Employer Control and Supervision";"2020 Output-rated Workers (ORW)";"2020 ..ORW_Piece-rated Workers";"2020 ..ORW_Quota Workers";"2020 ..ORW_Pakyao or Takay Workers";"2020 ..ORW_Task Workers";"2022 Commission Workers (CW)";"2022 ..CW_With Basic Pay and Commission";"2022 ..CW_Purely on Commission With Employer Control and Supervision";"2022 ..CW_Purely on Commission Without Employer Control and Supervision";"2022 Output-rated Workers (ORW)";"2022 ..ORW_Piece-rated Workers";"2022 ..ORW_Quota Workers";"2022 ..ORW_Pakyao or Takay Workers";"2022 ..ORW_Task Workers"
"Both Sexes";"ALL INDUSTRIES";235882;139972;77640;18270;146457;60465;9017;67362;9613;67670;45305;17589;4777;96650;49465;9128;29134;8923;125431;108565;12122;4744;65971;31491;6303;25375;2802;58553;49530;5963;3060;59798;30233;6302;15846;7417;53001;34641;15813;2547;54949;28654;6091;15486;4718
"Both Sexes";"..Agriculture, Forestry and Fishing";11393;600;10054;740;59103;11403;2874;41836;2991;1328;354;843;130;29592;9361;868;18494;870;2298;620;1606;72;23908;7144;1847;14498;419;2299;1565;522;213;14918;5323;323;9131;142;2673;606;2067;0;10473;3617;755;5780;320
"Both Sexes";"..Mining and Quarrying";531;171;360;0;2236;135;1916;185;0;162;4;158;0;534;12;243;26;253;0;0;0;0;342;91;49;132;71;0;0;0;0;41;18;23;0;0;21;0;21;0;64;6;11;47;0
"Both Sexes";"..Manufacturing";15381;6520;8445;416;50262;34325;1390;14183;364;8117;6132;1766;220;37668;29883;2629;4434;722;6038;5401;596;41;22537;17915;658;3181;783;10685;8233;1671;781;23727;16624;2497;4304;301;5244;2328;2163;753;22349;13705;2690;5160;794
"Both Sexes";"..Electricity, Gas, Steam and Air Conditioning Supply";649;0;0;649;291;99;0;0;192;4;0;4;0;814;408;46;18;343;24;18;6;0;299;208;28;0;63;195;105;90;0;272;245;0;0;27;290;212;78;0;416;30;261;0;124
"Both Sexes";"..Water Supply; Sewerage, Waste Management and Remediation Activities";64;64;0;0;750;374;10;85;281;53;0;53;0;681;73;387;112;109;147;37;110;0;659;224;99;143;192;236;10;226;0;341;34;170;75;61;49;49;0;0;472;212;0;141;120
"Both Sexes";"..Construction";345;345;0;0;5493;884;1625;2984;0;352;284;41;26;3352;332;387;1966;667;796;112;681;3;1963;221;205;1468;68;309;299;5;4;3162;281;349;273;2259;451;121;305;26;2621;163;98;1795;564
"Both Sexes";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";32955;25879;4451;2624;4388;2137;573;992;685;27991;24604;2911;476;3901;1130;543;1530;698;26224;24229;1406;588;2935;2086;225;348;276;20037;18240;1021;776;5538;1239;1582;1066;1651;18291;15064;2321;906;3768;1581;86;1637;463
"Both Sexes";"..Transportation and Storage";22291;7219;14417;655;10444;2110;186;4989;3159;10225;3647;6574;4;5875;3493;536;650;1197;7539;3508;4020;10;2121;666;290;765;399;4965;3204;1322;439;2711;498;177;123;1914;5055;1955;3007;92;2633;788;339;459;1047
"Both Sexes";"..Accommodation and Food Service Activities";4022;3515;368;139;172;0;139;0;33;2335;849;1486;0;476;34;0;0;442;825;629;196;0;323;175;31;96;20;2630;2608;22;0;444;0;399;0;45;432;230;202;0;481;206;145;0;130
