"Number of Workers Covered by CBAs in Establishments Employing 20 or More Workers by Major Industry Group and Sex, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/5501B3GU070.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Major Industry Group";"2014 Both Sexes";"2014 ..Male";"2014 ..Female";"2016 Both Sexes";"2016 ..Male";"2016 ..Female";"2018 Both Sexes";"2018 ..Male";"2018 ..Female";"2020 Both Sexes";"2020 ..Male";"2020 ..Female";"2022 Both Sexes";"2022 ..Male";"2022 ..Female"
"ALL INDUSTRIES";359745;236305;123440;313267;199567;113700;361632;222025;139607;333776;182301;151474;446756;264010;182746
"..Agriculture, Forestry and Fishing";34077;25961;8116;30499;24262;6237;30916;25102;5814;8554;7062;1493;39050;30154;8896
"..Mining and Quarrying";5188;4776;412;7766;7028;738;9842;9019;823;11278;10534;744;12821;11743;1078
"..Manufacturing";121505;84287;37218;101196;71108;30087;120817;85950;34867;120152;75195;44956;163669;103758;59911
"..Electricity, Gas, Steam and Air Conditioning Supply";25030;21257;3773;11943;9401;2541;18327;15009;3318;11835;9175;2661;11357;9255;2102
"..Water Supply; Sewerage, Waste Management and Remediation Activities";6965;5340;1624;7661;5659;2002;8198;6341;1857;7559;5809;1749;7192;5710;1482
"..Construction";2385;1958;428;3234;2793;441;3697;3110;587;3028;2901;127;15944;15130;814
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";18931;9731;9200;23890;12432;11458;27763;12933;14830;40061;13089;26973;27129;13730;13399
"..Transportation and Storage";30274;27169;3105;26247;22764;3483;17801;15977;1824;15758;14218;1540;19028;16822;2207
"..Accommodation and Food Service Activities";4637;3277;1360;6049;3876;2172;8345;5425;2919;7191;4907;2284;3075;1924;1152
"..Information and Communication";17493;12746;4747;9675;6841;2834;13225;9247;3978;2770;1853;917;12889;9761;3129
"..Financial and Insurance Activities";44456;16173;28283;36032;12875;23157;59780;16778;43002;54077;16215;37862;73423;20316;53107
"..Real Estate Activities";437;238;198;1275;721;554;1464;569;895;525;377;148;3411;2268;1143
"..Professional, Scientific and Technical Activities";2863;1828;1035;1465;841;624;710;461;249;647;493;154;1667;936;731
"..Administrative and Support Service Activities";2151;1939;211;1173;971;202;992;901;91;567;273;294;622;485;137
"..Education Except Public Education";19350;8218;11132;19512;7951;11561;15882;6568;9314;18236;8032;10203;21557;10375;11182
"..Human Health and Social Work Activities Except Public Health Activities";18310;8457;9852;20596;7344;13253;21363;7196;14167;22064;7330;14734;30392;9890;20503
"..Arts, Entertainment and Recreation";4593;2772;1821;4872;2537;2335;2469;1418;1051;9474;4839;4635;3528;1755;1772
"..Other Service Activities Except Activities of Membership Organizations";1102;175;926;184;163;21;41;20;21;0;0;0;..;..;..
