"Number of Establishments Employing 20 or More Workers Not Aware of ECP by Preferred Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0031B3E9030.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Preferred Mode of Learning about ECP";"Major Industry Group";"2017"
"Total Establishments Not Aware of ECP";"ALL INDUSTRIES";4012
"Total Establishments Not Aware of ECP";"..Agriculture, Forestry and Fishing";179
"Total Establishments Not Aware of ECP";"..Mining and Quarrying";18
"Total Establishments Not Aware of ECP";"..Manufacturing";567
"Total Establishments Not Aware of ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";6
"Total Establishments Not Aware of ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";65
"Total Establishments Not Aware of ECP";"..Construction";102
"Total Establishments Not Aware of ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1013
"Total Establishments Not Aware of ECP";"..Transportation and Storage";132
"Total Establishments Not Aware of ECP";"..Accommodation and Food Service Activities";557
"Total Establishments Not Aware of ECP";"..Information and Communication";95
"Total Establishments Not Aware of ECP";"..Financial and Insurance Activities";130
"Total Establishments Not Aware of ECP";"..Real Estate Activities";57
"Total Establishments Not Aware of ECP";"..Professional, Scientific and Technical Activities";114
"Total Establishments Not Aware of ECP";"..Administrative and Support Service Activities";206
"Total Establishments Not Aware of ECP";"..Education Except Public Education";596
"Total Establishments Not Aware of ECP";"..Human Health and Social Work Activities Except Public Health Activities";101
"Total Establishments Not Aware of ECP";"..Arts, Entertainment and  Recreation";40
"Total Establishments Not Aware of ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";34
"Comics";"ALL INDUSTRIES";71
"Comics";"..Agriculture, Forestry and Fishing";1
"Comics";"..Mining and Quarrying";..
"Comics";"..Manufacturing";12
"Comics";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Comics";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Comics";"..Construction";..
"Comics";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";22
"Comics";"..Transportation and Storage";2
"Comics";"..Accommodation and Food Service Activities";22
"Comics";"..Information and Communication";..
"Comics";"..Financial and Insurance Activities";..
"Comics";"..Real Estate Activities";..
"Comics";"..Professional, Scientific and Technical Activities";..
"Comics";"..Administrative and Support Service Activities";3
"Comics";"..Education Except Public Education";6
"Comics";"..Human Health and Social Work Activities Except Public Health Activities";3
"Comics";"..Arts, Entertainment and  Recreation";..
"Comics";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Company/Co-workers";"ALL INDUSTRIES";368
"Company/Co-workers";"..Agriculture, Forestry and Fishing";16
"Company/Co-workers";"..Mining and Quarrying";..
"Company/Co-workers";"..Manufacturing";45
"Company/Co-workers";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Company/Co-workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";13
"Company/Co-workers";"..Construction";8
"Company/Co-workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";76
"Company/Co-workers";"..Transportation and Storage";14
"Company/Co-workers";"..Accommodation and Food Service Activities";77
"Company/Co-workers";"..Information and Communication";8
"Company/Co-workers";"..Financial and Insurance Activities";11
"Company/Co-workers";"..Real Estate Activities";4
"Company/Co-workers";"..Professional, Scientific and Technical Activities";11
"Company/Co-workers";"..Administrative and Support Service Activities";14
"Company/Co-workers";"..Education Except Public Education";59
"Company/Co-workers";"..Human Health and Social Work Activities Except Public Health Activities";11
"Company/Co-workers";"..Arts, Entertainment and  Recreation";..
"Company/Co-workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Poster/Flyers";"ALL INDUSTRIES";539
"Poster/Flyers";"..Agriculture, Forestry and Fishing";26
"Poster/Flyers";"..Mining and Quarrying";2
"Poster/Flyers";"..Manufacturing";144
"Poster/Flyers";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Poster/Flyers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";12
"Poster/Flyers";"..Construction";6
"Poster/Flyers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";120
"Poster/Flyers";"..Transportation and Storage";22
"Poster/Flyers";"..Accommodation and Food Service Activities";52
"Poster/Flyers";"..Information and Communication";6
"Poster/Flyers";"..Financial and Insurance Activities";8
"Poster/Flyers";"..Real Estate Activities";5
"Poster/Flyers";"..Professional, Scientific and Technical Activities";8
