"Number of Establishments Employing 20 or More Workers Not Aware of ECP by Topic of Interest and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0061B3E9060.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Topic of Interest";"Major Industry Group";"2017"
"Total Establishments Not Aware of ECP";"ALL INDUSTRIES";4012
"Total Establishments Not Aware of ECP";"..Agriculture, Forestry and Fishing";179
"Total Establishments Not Aware of ECP";"..Mining and Quarrying";18
"Total Establishments Not Aware of ECP";"..Manufacturing";567
"Total Establishments Not Aware of ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";6
"Total Establishments Not Aware of ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";65
"Total Establishments Not Aware of ECP";"..Construction";102
"Total Establishments Not Aware of ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1013
"Total Establishments Not Aware of ECP";"..Transportation and Storage";132
"Total Establishments Not Aware of ECP";"..Accommodation and Food Service Activities";557
"Total Establishments Not Aware of ECP";"..Information and Communication";95
"Total Establishments Not Aware of ECP";"..Financial and Insurance Activities";130
"Total Establishments Not Aware of ECP";"..Real Estate Activities";57
"Total Establishments Not Aware of ECP";"..Professional, Scientific and Technical Activities";114
"Total Establishments Not Aware of ECP";"..Administrative and Support Service Activities";206
"Total Establishments Not Aware of ECP";"..Education Except Public Education";596
"Total Establishments Not Aware of ECP";"..Human Health and Social Work Activities Except Public Health Activities";101
"Total Establishments Not Aware of ECP";"..Arts, Entertainment and  Recreation";40
"Total Establishments Not Aware of ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";34
"Interest on Cash Income Benefits";"ALL INDUSTRIES";2144
"Interest on Cash Income Benefits";"..Agriculture, Forestry and Fishing";85
"Interest on Cash Income Benefits";"..Mining and Quarrying";9
"Interest on Cash Income Benefits";"..Manufacturing";293
"Interest on Cash Income Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Interest on Cash Income Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";35
"Interest on Cash Income Benefits";"..Construction";60
"Interest on Cash Income Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";538
"Interest on Cash Income Benefits";"..Transportation and Storage";54
"Interest on Cash Income Benefits";"..Accommodation and Food Service Activities";281
"Interest on Cash Income Benefits";"..Information and Communication";60
"Interest on Cash Income Benefits";"..Financial and Insurance Activities";67
"Interest on Cash Income Benefits";"..Real Estate Activities";28
"Interest on Cash Income Benefits";"..Professional, Scientific and Technical Activities";52
"Interest on Cash Income Benefits";"..Administrative and Support Service Activities";93
"Interest on Cash Income Benefits";"..Education Except Public Education";390
"Interest on Cash Income Benefits";"..Human Health and Social Work Activities Except Public Health Activities";60
"Interest on Cash Income Benefits";"..Arts, Entertainment and  Recreation";21
"Interest on Cash Income Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";14
"Interest on Disability Benefits";"ALL INDUSTRIES";1939
"Interest on Disability Benefits";"..Agriculture, Forestry and Fishing";74
"Interest on Disability Benefits";"..Mining and Quarrying";12
"Interest on Disability Benefits";"..Manufacturing";323
"Interest on Disability Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Interest on Disability Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";40
"Interest on Disability Benefits";"..Construction";50
"Interest on Disability Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";486
"Interest on Disability Benefits";"..Transportation and Storage";49
"Interest on Disability Benefits";"..Accommodation and Food Service Activities";241
"Interest on Disability Benefits";"..Information and Communication";39
"Interest on Disability Benefits";"..Financial and Insurance Activities";52
"Interest on Disability Benefits";"..Real Estate Activities";26
"Interest on Disability Benefits";"..Professional, Scientific and Technical Activities";46
"Interest on Disability Benefits";"..Administrative and Support Service Activities";93
"Interest on Disability Benefits";"..Education Except Public Education";322
"Interest on Disability Benefits";"..Human Health and Social Work Activities Except Public Health Activities";51
"Interest on Disability Benefits";"..Arts, Entertainment and  Recreation";22
"Interest on Disability Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";11
"Interest on Medical Benefits";"ALL INDUSTRIES";2513
"Interest on Medical Benefits";"..Agriculture, Forestry and Fishing";113
"Interest on Medical Benefits";"..Mining and Quarrying";13
"Interest on Medical Benefits";"..Manufacturing";424
"Interest on Medical Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";5
"Interest on Medical Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";52
"Interest on Medical Benefits";"..Construction";66
"Interest on Medical Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";625
"Interest on Medical Benefits";"..Transportation and Storage";54
"Interest on Medical Benefits";"..Accommodation and Food Service Activities";327
"Interest on Medical Benefits";"..Information and Communication";50
"Interest on Medical Benefits";"..Financial and Insurance Activities";61
"Interest on Medical Benefits";"..Real Estate Activities";27
"Interest on Medical Benefits";"..Professional, Scientific and Technical Activities";54
"Interest on Medical Benefits";"..Administrative and Support Service Activities";115
"Interest on Medical Benefits";"..Education Except Public Education";411
"Interest on Medical Benefits";"..Human Health and Social Work Activities Except Public Health Activities";66
"Interest on Medical Benefits";"..Arts, Entertainment and  Recreation";27
"Interest on Medical Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";21
"Interest on Death/Funeral Benefits";"ALL INDUSTRIES";1460
"Interest on Death/Funeral Benefits";"..Agriculture, Forestry and Fishing";42
"Interest on Death/Funeral Benefits";"..Mining and Quarrying";9
"Interest on Death/Funeral Benefits";"..Manufacturing";245
"Interest on Death/Funeral Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Interest on Death/Funeral Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";36
"Interest on Death/Funeral Benefits";"..Construction";30
"Interest on Death/Funeral Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";356
"Interest on Death/Funeral Benefits";"..Transportation and Storage";29
"Interest on Death/Funeral Benefits";"..Accommodation and Food Service Activities";188
"Interest on Death/Funeral Benefits";"..Information and Communication";28
"Interest on Death/Funeral Benefits";"..Financial and Insurance Activities";30
"Interest on Death/Funeral Benefits";"..Real Estate Activities";23
"Interest on Death/Funeral Benefits";"..Professional, Scientific and Technical Activities";33
"Interest on Death/Funeral Benefits";"..Administrative and Support Service Activities";75
"Interest on Death/Funeral Benefits";"..Education Except Public Education";261
"Interest on Death/Funeral Benefits";"..Human Health and Social Work Activities Except Public Health Activities";41
"Interest on Death/Funeral Benefits";"..Arts, Entertainment and  Recreation";20
"Interest on Death/Funeral Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";11
"Interest on Carer's Allowance Benefits";"ALL INDUSTRIES";674
"Interest on Carer's Allowance Benefits";"..Agriculture, Forestry and Fishing";5
"Interest on Carer's Allowance Benefits";"..Mining and Quarrying";6
"Interest on Carer's Allowance Benefits";"..Manufacturing";115
"Interest on Carer's Allowance Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Interest on Carer's Allowance Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";28
"Interest on Carer's Allowance Benefits";"..Construction";8
"Interest on Carer's Allowance Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";169
"Interest on Carer's Allowance Benefits";"..Transportation and Storage";14
"Interest on Carer's Allowance Benefits";"..Accommodation and Food Service Activities";99
"Interest on Carer's Allowance Benefits";"..Information and Communication";17
"Interest on Carer's Allowance Benefits";"..Financial and Insurance Activities";9
"Interest on Carer's Allowance Benefits";"..Real Estate Activities";18
"Interest on Carer's Allowance Benefits";"..Professional, Scientific and Technical Activities";18
"Interest on Carer's Allowance Benefits";"..Administrative and Support Service Activities";36
"Interest on Carer's Allowance Benefits";"..Education Except Public Education";101
"Interest on Carer's Allowance Benefits";"..Human Health and Social Work Activities Except Public Health Activities";17
"Interest on Carer's Allowance Benefits";"..Arts, Entertainment and  Recreation";12
"Interest on Carer's Allowance Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";1
"Interest on Survivorship Pension Benefits";"ALL INDUSTRIES";760
"Interest on Survivorship Pension Benefits";"..Agriculture, Forestry and Fishing";23
"Interest on Survivorship Pension Benefits";"..Mining and Quarrying";6
"Interest on Survivorship Pension Benefits";"..Manufacturing";129
"Interest on Survivorship Pension Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Interest on Survivorship Pension Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";35
"Interest on Survivorship Pension Benefits";"..Construction";9
"Interest on Survivorship Pension Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";180
"Interest on Survivorship Pension Benefits";"..Transportation and Storage";19
"Interest on Survivorship Pension Benefits";"..Accommodation and Food Service Activities";83
"Interest on Survivorship Pension Benefits";"..Information and Communication";16
"Interest on Survivorship Pension Benefits";"..Financial and Insurance Activities";16
"Interest on Survivorship Pension Benefits";"..Real Estate Activities";18
"Interest on Survivorship Pension Benefits";"..Professional, Scientific and Technical Activities";15
"Interest on Survivorship Pension Benefits";"..Administrative and Support Service Activities";45
"Interest on Survivorship Pension Benefits";"..Education Except Public Education";130
"Interest on Survivorship Pension Benefits";"..Human Health and Social Work Activities Except Public Health Activities";24
"Interest on Survivorship Pension Benefits";"..Arts, Entertainment and  Recreation";9
"Interest on Survivorship Pension Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Interest on Skills Training Services (KAGABAY Program)";"ALL INDUSTRIES";1039
"Interest on Skills Training Services (KAGABAY Program)";"..Agriculture, Forestry and Fishing";17
"Interest on Skills Training Services (KAGABAY Program)";"..Mining and Quarrying";1
"Interest on Skills Training Services (KAGABAY Program)";"..Manufacturing";161
"Interest on Skills Training Services (KAGABAY Program)";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Interest on Skills Training Services (KAGABAY Program)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";30
"Interest on Skills Training Services (KAGABAY Program)";"..Construction";27
"Interest on Skills Training Services (KAGABAY Program)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";220
"Interest on Skills Training Services (KAGABAY Program)";"..Transportation and Storage";38
"Interest on Skills Training Services (KAGABAY Program)";"..Accommodation and Food Service Activities";176
"Interest on Skills Training Services (KAGABAY Program)";"..Information and Communication";30
"Interest on Skills Training Services (KAGABAY Program)";"..Financial and Insurance Activities";19
"Interest on Skills Training Services (KAGABAY Program)";"..Real Estate Activities";14
