"Number of Establishments Employing 20 or More Workers that Provided Assistance (ECP Services) by Type of Assistance and Major Industry Group, Philippines: 2017"

"Type of Assistance";"Majot Industry Group";"2017"
"Total Establishments That Provided Assistance (ECP Services)";"ALL INDUSTRIES";5503
"Total Establishments That Provided Assistance (ECP Services)";"..Agriculture, Forestry and Fishing";205
"Total Establishments That Provided Assistance (ECP Services)";"..Mining and Quarrying";38
"Total Establishments That Provided Assistance (ECP Services)";"..Manufacturing";1079
"Total Establishments That Provided Assistance (ECP Services)";"..Electricity, Gas, Steam and Air Conditioning Supply";85
"Total Establishments That Provided Assistance (ECP Services)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";36
"Total Establishments That Provided Assistance (ECP Services)";"..Construction";232
"Total Establishments That Provided Assistance (ECP Services)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1212
"Total Establishments That Provided Assistance (ECP Services)";"..Transportation and Storage";202
"Total Establishments That Provided Assistance (ECP Services)";"..Accommodation and Food Service Activities";733
"Total Establishments That Provided Assistance (ECP Services)";"..Information and Communication";100
"Total Establishments That Provided Assistance (ECP Services)";"..Financial and Insurance Activities";267
"Total Establishments That Provided Assistance (ECP Services)";"..Real Estate Activities";70
"Total Establishments That Provided Assistance (ECP Services)";"..Professional, Scientific and Technical Activities";109
"Total Establishments That Provided Assistance (ECP Services)";"..Administrative and Support Service Activities";347
"Total Establishments That Provided Assistance (ECP Services)";"..Education Except Public Education";555
"Total Establishments That Provided Assistance (ECP Services)";"..Human Health and Social Work Activities Except Public Health Activities";163
"Total Establishments That Provided Assistance (ECP Services)";"..Arts, Entertainment and  Recreation";37
"Total Establishments That Provided Assistance (ECP Services)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";33
"Advise employees who suffered work-related contingencies to avail of ECP services";"ALL INDUSTRIES";4321
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Agriculture, Forestry and Fishing";149
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Mining and Quarrying";27
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Manufacturing";863
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Electricity, Gas, Steam and Air Conditioning Supply";81
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Water Supply; Sewerage, Waste Management and Remediation Activities";35
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Construction";190
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";917
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Transportation and Storage";173
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Accommodation and Food Service Activities";590
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Information and Communication";89
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Financial and Insurance Activities";213
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Real Estate Activities";48
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Professional, Scientific and Technical Activities";93
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Administrative and Support Service Activities";286
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Education Except Public Education";391
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Human Health and Social Work Activities Except Public Health Activities";125
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Arts, Entertainment and  Recreation";27
"Advise employees who suffered work-related contingencies to avail of ECP services";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";23
"Assist employees in requesting ECP services";"ALL INDUSTRIES";4709
"Assist employees in requesting ECP services";"..Agriculture, Forestry and Fishing";176
"Assist employees in requesting ECP services";"..Mining and Quarrying";30
"Assist employees in requesting ECP services";"..Manufacturing";923
"Assist employees in requesting ECP services";"..Electricity, Gas, Steam and Air Conditioning Supply";71
"Assist employees in requesting ECP services";"..Water Supply; Sewerage, Waste Management and Remediation Activities";36
"Assist employees in requesting ECP services";"..Construction";199
"Assist employees in requesting ECP services";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1078
"Assist employees in requesting ECP services";"..Transportation and Storage";155
"Assist employees in requesting ECP services";"..Accommodation and Food Service Activities";615
"Assist employees in requesting ECP services";"..Information and Communication";81
"Assist employees in requesting ECP services";"..Financial and Insurance Activities";213
"Assist employees in requesting ECP services";"..Real Estate Activities";60
"Assist employees in requesting ECP services";"..Professional, Scientific and Technical Activities";95
"Assist employees in requesting ECP services";"..Administrative and Support Service Activities";294
"Assist employees in requesting ECP services";"..Education Except Public Education";484
