"Number of Establishments Employing 20 or More Workers that Provided Assistance (ECP Benefits) by Type of Assistance and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0131B3E9130.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Type of Assistance";"Majot Industry Group";"2017"
"Total Establishments That Provided Assistance (ECP Benefits)";"ALL INDUSTRIES";15513
"Total Establishments That Provided Assistance (ECP Benefits)";"..Agriculture, Forestry and Fishing";515
"Total Establishments That Provided Assistance (ECP Benefits)";"..Mining and Quarrying";69
"Total Establishments That Provided Assistance (ECP Benefits)";"..Manufacturing";3345
"Total Establishments That Provided Assistance (ECP Benefits)";"..Electricity, Gas, Steam and Air Conditioning Supply";198
"Total Establishments That Provided Assistance (ECP Benefits)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";114
"Total Establishments That Provided Assistance (ECP Benefits)";"..Construction";534
"Total Establishments That Provided Assistance (ECP Benefits)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3632
"Total Establishments That Provided Assistance (ECP Benefits)";"..Transportation and Storage";563
"Total Establishments That Provided Assistance (ECP Benefits)";"..Accommodation and Food Service Activities";1876
"Total Establishments That Provided Assistance (ECP Benefits)";"..Information and Communication";284
"Total Establishments That Provided Assistance (ECP Benefits)";"..Financial and Insurance Activities";624
"Total Establishments That Provided Assistance (ECP Benefits)";"..Real Estate Activities";195
"Total Establishments That Provided Assistance (ECP Benefits)";"..Professional, Scientific and Technical Activities";311
"Total Establishments That Provided Assistance (ECP Benefits)";"..Administrative and Support Service Activities";1017
"Total Establishments That Provided Assistance (ECP Benefits)";"..Education Except Public Education";1505
"Total Establishments That Provided Assistance (ECP Benefits)";"..Human Health and Social Work Activities Except Public Health Activities";503
"Total Establishments That Provided Assistance (ECP Benefits)";"..Arts, Entertainment and  Recreation";101
"Total Establishments That Provided Assistance (ECP Benefits)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";124
"Advise employees who suffered work-related contingencies to file claims for benefits";"ALL INDUSTRIES";11941
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Agriculture, Forestry and Fishing";411
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Mining and Quarrying";55
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Manufacturing";2611
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";173
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";92
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Construction";422
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2760
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Transportation and Storage";453
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Accommodation and Food Service Activities";1368
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Information and Communication";248
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Financial and Insurance Activities";502
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Real Estate Activities";138
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Professional, Scientific and Technical Activities";255
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Administrative and Support Service Activities";787
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Education Except Public Education";1108
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Human Health and Social Work Activities Except Public Health Activities";390
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Arts, Entertainment and  Recreation";76
"Advise employees who suffered work-related contingencies to file claims for benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";94
"Assist employees in filing of ECP claims";"ALL INDUSTRIES";12350
"Assist employees in filing of ECP claims";"..Agriculture, Forestry and Fishing";388
"Assist employees in filing of ECP claims";"..Mining and Quarrying";56
"Assist employees in filing of ECP claims";"..Manufacturing";2823
"Assist employees in filing of ECP claims";"..Electricity, Gas, Steam and Air Conditioning Supply";164
"Assist employees in filing of ECP claims";"..Water Supply; Sewerage, Waste Management and Remediation Activities";96
"Assist employees in filing of ECP claims";"..Construction";434
"Assist employees in filing of ECP claims";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2988
"Assist employees in filing of ECP claims";"..Transportation and Storage";461
"Assist employees in filing of ECP claims";"..Accommodation and Food Service Activities";1437
"Assist employees in filing of ECP claims";"..Information and Communication";198
"Assist employees in filing of ECP claims";"..Financial and Insurance Activities";457
"Assist employees in filing of ECP claims";"..Real Estate Activities";142
"Assist employees in filing of ECP claims";"..Professional, Scientific and Technical Activities";199
"Assist employees in filing of ECP claims";"..Administrative and Support Service Activities";796
"Assist employees in filing of ECP claims";"..Education Except Public Education";1158
"Assist employees in filing of ECP claims";"..Human Health and Social Work Activities Except Public Health Activities";405
"Assist employees in filing of ECP claims";"..Arts, Entertainment and  Recreation";70
"Assist employees in filing of ECP claims";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";81
"Provide supporting documents upon request";"ALL INDUSTRIES";10307
"Provide supporting documents upon request";"..Agriculture, Forestry and Fishing";362
"Provide supporting documents upon request";"..Mining and Quarrying";52
"Provide supporting documents upon request";"..Manufacturing";2399
"Provide supporting documents upon request";"..Electricity, Gas, Steam and Air Conditioning Supply";152
"Provide supporting documents upon request";"..Water Supply; Sewerage, Waste Management and Remediation Activities";81
"Provide supporting documents upon request";"..Construction";356
"Provide supporting documents upon request";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2311
"Provide supporting documents upon request";"..Transportation and Storage";390
"Provide supporting documents upon request";"..Accommodation and Food Service Activities";1202
"Provide supporting documents upon request";"..Information and Communication";171
"Provide supporting documents upon request";"..Financial and Insurance Activities";389
"Provide supporting documents upon request";"..Real Estate Activities";94
"Provide supporting documents upon request";"..Professional, Scientific and Technical Activities";192
"Provide supporting documents upon request";"..Administrative and Support Service Activities";658
"Provide supporting documents upon request";"..Education Except Public Education";1013
"Provide supporting documents upon request";"..Human Health and Social Work Activities Except Public Health Activities";364
"Provide supporting documents upon request";"..Arts, Entertainment and  Recreation";48
"Provide supporting documents upon request";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";73
"Follow-up ECP claims of employees";"ALL INDUSTRIES";7515
"Follow-up ECP claims of employees";"..Agriculture, Forestry and Fishing";249
"Follow-up ECP claims of employees";"..Mining and Quarrying";51
"Follow-up ECP claims of employees";"..Manufacturing";1829
"Follow-up ECP claims of employees";"..Electricity, Gas, Steam and Air Conditioning Supply";133
"Follow-up ECP claims of employees";"..Water Supply; Sewerage, Waste Management and Remediation Activities";50
"Follow-up ECP claims of employees";"..Construction";281
"Follow-up ECP claims of employees";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1715
"Follow-up ECP claims of employees";"..Transportation and Storage";253
"Follow-up ECP claims of employees";"..Accommodation and Food Service Activities";817
"Follow-up ECP claims of employees";"..Information and Communication";117
"Follow-up ECP claims of employees";"..Financial and Insurance Activities";284
"Follow-up ECP claims of employees";"..Real Estate Activities";82
"Follow-up ECP claims of employees";"..Professional, Scientific and Technical Activities";127
"Follow-up ECP claims of employees";"..Administrative and Support Service Activities";520
"Follow-up ECP claims of employees";"..Education Except Public Education";653
"Follow-up ECP claims of employees";"..Human Health and Social Work Activities Except Public Health Activities";284
"Follow-up ECP claims of employees";"..Arts, Entertainment and  Recreation";28
"Follow-up ECP claims of employees";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";40
"Others";"ALL INDUSTRIES";131
"Others";"..Agriculture, Forestry and Fishing";10
"Others";"..Mining and Quarrying";2
"Others";"..Manufacturing";41
"Others";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Others";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Others";"..Construction";5
"Others";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";29
"Others";"..Transportation and Storage";3
"Others";"..Accommodation and Food Service Activities";6
"Others";"..Information and Communication";..
"Others";"..Financial and Insurance Activities";3
"Others";"..Real Estate Activities";2
"Others";"..Professional, Scientific and Technical Activities";..
"Others";"..Administrative and Support Service Activities";11
"Others";"..Education Except Public Education";16
"Others";"..Human Health and Social Work Activities Except Public Health Activities";..
"Others";"..Arts, Entertainment and  Recreation";2
"Others";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
