"Number of Establishments Employing 20 or More Workers with Employees Who Availed of ECP Benefits by Filing Agency, Type of ECP Benefits Availed and Major Industry Group, Philippines: 2015 - 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0081B3E9080.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Filing Agency and Type of ECP Benefits Availed";"Major Industry Group";"2017"
"Total Establishments With Employees Who Availed ECP Benefits";"ALL INDUSTRIES";16223
"Total Establishments With Employees Who Availed ECP Benefits";"..Agriculture, Forestry and Fishing";558
"Total Establishments With Employees Who Availed ECP Benefits";"..Mining and Quarrying";72
"Total Establishments With Employees Who Availed ECP Benefits";"..Manufacturing";3505
"Total Establishments With Employees Who Availed ECP Benefits";"..Electricity, Gas, Steam and Air Conditioning Supply";202
"Total Establishments With Employees Who Availed ECP Benefits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";116
"Total Establishments With Employees Who Availed ECP Benefits";"..Construction";553
"Total Establishments With Employees Who Availed ECP Benefits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3787
"Total Establishments With Employees Who Availed ECP Benefits";"..Transportation and Storage";574
"Total Establishments With Employees Who Availed ECP Benefits";"..Accommodation and Food Service Activities";2006
"Total Establishments With Employees Who Availed ECP Benefits";"..Information and Communication";286
"Total Establishments With Employees Who Availed ECP Benefits";"..Financial and Insurance Activities";656
"Total Establishments With Employees Who Availed ECP Benefits";"..Real Estate Activities";215
"Total Establishments With Employees Who Availed ECP Benefits";"..Professional, Scientific and Technical Activities";313
"Total Establishments With Employees Who Availed ECP Benefits";"..Administrative and Support Service Activities";1043
"Total Establishments With Employees Who Availed ECP Benefits";"..Education Except Public Education";1581
"Total Establishments With Employees Who Availed ECP Benefits";"..Human Health and Social Work Activities Except Public Health Activities";522
"Total Establishments With Employees Who Availed ECP Benefits";"..Arts, Entertainment and  Recreation";101
"Total Establishments With Employees Who Availed ECP Benefits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";132
"SSS as Filing Agency";"ALL INDUSTRIES";16076
