"Number of Establishments Employing 20 or More Workers with Employees Who Availed of ECP Services by Type and Duration When Service was Received and Major Industry Group, Philippines: 2015 - 2017"

"Type of Services (KAGABAY Program) Availed";"Duration When Service was Received";"Major Industry Group";"2017"
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"ALL INDUSTRIES";6201
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Agriculture, Forestry and Fishing";242
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Mining and Quarrying";36
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Manufacturing";1337
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";94
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";49
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Construction";242
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1363
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Transportation and Storage";212
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Accommodation and Food Service Activities";769
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Information and Communication";91
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Financial and Insurance Activities";251
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Real Estate Activities";81
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Professional, Scientific and Technical Activities";113
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Administrative and Support Service Activities";409
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Education Except Public Education";623
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";204
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Arts, Entertainment and  Recreation";46
"Total Establishments With Employees Who Availed ECP Services";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";39
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"ALL INDUSTRIES";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Agriculture, Forestry and Fishing";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Mining and Quarrying";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Manufacturing";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Construction";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Transportation and Storage";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Accommodation and Food Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Information and Communication";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Financial and Insurance Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Real Estate Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Professional, Scientific and Technical Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Administrative and Support Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Education Except Public Education";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Arts, Entertainment and  Recreation";..
"Total Establishments With Employees Who Availed ECP Services";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"ALL INDUSTRIES";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Agriculture, Forestry and Fishing";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Mining and Quarrying";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Manufacturing";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Construction";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Transportation and Storage";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Accommodation and Food Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Information and Communication";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Financial and Insurance Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Real Estate Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Professional, Scientific and Technical Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Administrative and Support Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Education Except Public Education";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Total Establishments With Employees Who Availed ECP Services";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"ALL INDUSTRIES";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Mining and Quarrying";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Manufacturing";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
