"Number of Establishments Employing 20 or More Workers With Designated Health and Safety Personnel by Designated Personnel and Major Industry Group, Philippines: 2013 to 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/4001B3GO040.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Major Industry Group";"2013 Total Establishments";"2013 Total Establishments with Designated Health and Safety Personnel";"2013 Trained First-Aider";"2013 Certified First-Aider";"2013 Occupational Health Nurse";"2013 Occupational Health Physician";"2013 Dentist";"2013 Industrial Hygienist";"2013 Safety Officer - Accredited by DOLE";"2013 Safety Officer - Not Accredited by DOLE";"2013 Safety Officer 1 - Accredited by DOLE";"2013 Safety Officer 1 - Not Accredited by DOLE";"2013 Safety Officer 2 - Accredited by DOLE";"2013 Safety Officer 2 - Not Accredited by DOLE";"2013 Safety Officer 3 - Accredited by DOLE";"2013 Safety Officer 3 - Not Accredited by DOLE";"2013 Safety Officer 4 - Accredited by DOLE";"2013 Safety Officer 4 - Not Accredited by DOLE";"2013 Others";"2013 None";"2015 Total Establishments";"2015 Total Establishments with Designated Health and Safety Personnel";"2015 Trained First-Aider";"2015 Certified First-Aider";"2015 Occupational Health Nurse";"2015 Occupational Health Physician";"2015 Dentist";"2015 Industrial Hygienist";"2015 Safety Officer - Accredited by DOLE";"2015 Safety Officer - Not Accredited by DOLE";"2015 Safety Officer 1 - Accredited by DOLE";"2015 Safety Officer 1 - Not Accredited by DOLE";"2015 Safety Officer 2 - Accredited by DOLE";"2015 Safety Officer 2 - Not Accredited by DOLE";"2015 Safety Officer 3 - Accredited by DOLE";"2015 Safety Officer 3 - Not Accredited by DOLE";"2015 Safety Officer 4 - Accredited by DOLE";"2015 Safety Officer 4 - Not Accredited by DOLE";"2015 Others";"2015 None";"2017 Total Establishments";"2017 Total Establishments with Designated Health and Safety Personnel";"2017 Trained First-Aider";"2017 Certified First-Aider";"2017 Occupational Health Nurse";"2017 Occupational Health Physician";"2017 Dentist";"2017 Industrial Hygienist";"2017 Safety Officer - Accredited by DOLE";"2017 Safety Officer - Not Accredited by DOLE";"2017 Safety Officer 1 - Accredited by DOLE";"2017 Safety Officer 1 - Not Accredited by DOLE";"2017 Safety Officer 2 - Accredited by DOLE";"2017 Safety Officer 2 - Not Accredited by DOLE";"2017 Safety Officer 3 - Accredited by DOLE";"2017 Safety Officer 3 - Not Accredited by DOLE";"2017 Safety Officer 4 - Accredited by DOLE";"2017 Safety Officer 4 - Not Accredited by DOLE";"2017 Others";"2017 None";"2019 Total Establishments";"2019 Total Establishments with Designated Health and Safety Personnel";"2019 Trained First-Aider";"2019 Certified First-Aider";"2019 Occupational Health Nurse";"2019 Occupational Health Physician";"2019 Dentist";"2019 Industrial Hygienist";"2019 Safety Officer - Accredited by DOLE";"2019 Safety Officer - Not Accredited by DOLE";"2019 Safety Officer 1 - Accredited by DOLE";"2019 Safety Officer 1 - Not Accredited by DOLE";"2019 Safety Officer 2 - Accredited by DOLE";"2019 Safety Officer 2 - Not Accredited by DOLE";"2019 Safety Officer 3 - Accredited by DOLE";"2019 Safety Officer 3 - Not Accredited by DOLE";"2019 Safety Officer 4 - Accredited by DOLE";"2019 Safety Officer 4 - Not Accredited by DOLE";"2019 Others";"2019 None";"2021 Total Establishments";"2021 Total Establishments with Designated Health and Safety Personnel";"2021 Trained First-Aider";"2021 Certified First-Aider";"2021 Occupational Health Nurse";"2021 Occupational Health Physician";"2021 Dentist";"2021 Industrial Hygienist";"2021 Safety Officer - Accredited by DOLE";"2021 Safety Officer - Not Accredited by DOLE";"2021 Safety Officer 1 - Accredited by DOLE";"2021 Safety Officer 1 - Not Accredited by DOLE";"2021 Safety Officer 2 - Accredited by DOLE";"2021 Safety Officer 2 - Not Accredited by DOLE";"2021 Safety Officer 3 - Accredited by DOLE";"2021 Safety Officer 3 - Not Accredited by DOLE";"2021 Safety Officer 4 - Accredited by DOLE";"2021 Safety Officer 4 - Not Accredited by DOLE";"2021 Others";"2021 None"
"ALL INDUSTRIES";.;24027;12322;.;8398;5936;2562;262;6824;7051;.;.;.;.;.;.;.;.;2303;.;.;27359;15645;.;8469;5709;2176;203;11276;7305;.;.;.;.;.;.;.;.;2419;.;.;27658;26265;.;8078;5245;1997;223;13119;1807;.;.;.;.;.;.;.;.;261;.;38305;31299;22441;.;9508;6065;2671;404;..;..;14405;2088;9134;1432;2465;594;696;274;887;7006;36342;31410;..;21999;7484;4442;1472;232;..;..;15944;1920;11289;1025;2743;484;664;175;1290;4932
"..Agriculture, Forestry and Fishing";.;707;350;.;171;183;35;0;162;311;.;.;.;.;.;.;.;.;74;.;.;727;382;.;161;150;45;6;268;185;.;.;.;.;.;.;.;.;79;.;.;709;667;.;195;155;31;0;259;26;.;.;.;.;.;.;.;.;2;.;1070;561;404;.;145;128;34;53;..;..;201;55;97;17;36;19;4;9;3;508;1125;775;..;421;152;86;18;1;..;..;358;61;208;14;56;7;7;0;82;350
"..Mining and Quarrying";.;161;76;.;66;38;8;5;60;73;.;.;.;.;.;.;.;.;34;.;.;134;88;.;58;28;8;2;58;52;.;.;.;.;.;.;.;.;31;.;.;138;135;.;53;44;17;6;62;14;.;.;.;.;.;.;.;.;4;.;168;137;102;.;56;21;3;5;..;..;57;34;31;12;16;2;13;0;8;31;165;149;..;96;68;51;22;0;..;..;73;6;57;18;23;3;11;2;10;16
"..Manufacturing";.;4775;2770;.;1616;1177;458;55;1731;1776;.;.;.;.;.;.;.;.;426;.;.;5540;3616;.;1796;1280;458;70;2700;1469;.;.;.;.;.;.;.;.;402;.;.;5208;5047;.;1825;1240;389;59;2916;217;.;.;.;.;.;.;.;.;48;.;6406;5522;4271;.;1831;1315;443;71;..;..;2486;563;1623;316;665;164;158;28;210;884;6213;5393;..;3930;1576;1144;368;70;..;..;2485;369;2206;301;756;159;166;36;245;820
"..Electricity, Gas, Steam and Air Conditioning Supply";.;385;223;.;241;129;37;24;269;77;.;.;.;.;.;.;.;.;67;.;.;238;125;.;139;81;34;1;160;49;.;.;.;.;.;.;.;.;22;.;.;272;272;.;142;79;23;7;185;7;.;.;.;.;.;.;.;.;5;.;301;259;195;.;155;102;35;0;..;..;101;12;119;9;68;5;17;0;17;41;296;279;..;193;160;85;33;1;..;..;108;17;142;27;114;15;28;1;13;17
"..Water Supply; Sewerage, Waste Management and Remediation Activities";.;134;69;.;40;23;4;0;30;43;.;.;.;.;.;.;.;.;21;.;.;256;115;.;44;35;3;0;77;81;.;.;.;.;.;.;.;.;31;.;.;165;149;.;36;20;3;1;70;16;.;.;.;.;.;.;.;.;1;.;338;192;124;.;69;14;2;2;..;..;38;36;33;37;56;2;1;2;41;146;376;238;..;148;49;26;5;1;..;..;98;18;73;24;31;13;3;6;21;137
"..Construction";.;888;447;.;222;56;15;1;656;196;.;.;.;.;.;.;.;.;38;.;.;930;490;.;237;57;17;4;656;199;.;.;.;.;.;.;.;.;64;.;.;941;907;.;219;63;25;2;674;23;.;.;.;.;.;.;.;.;1;.;1223;1039;769;.;256;158;56;5;..;..;565;26;414;91;319;49;79;40;11;184;1238;1147;..;783;248;76;27;1;..;..;660;49;597;44;314;22;91;4;18;92
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";.;4553;2549;.;1344;991;168;27;1184;1138;.;.;.;.;.;.;.;.;396;.;.;5954;3282;.;1337;956;219;20;2406;1694;.;.;.;.;.;.;.;.;598;.;.;6562;6200;.;1193;796;155;14;3231;449;.;.;.;.;.;.;.;.;33;.;9560;7471;5821;.;1406;752;221;119;..;..;3122;303;2094;396;277;17;19;3;46;2089;10198;8600;..;6481;1138;673;123;18;..;..;4774;399;3038;157;356;79;53;40;273;1598
"..Transportation and Storage";.;902;399;.;178;174;65;21;355;353;.;.;.;.;.;.;.;.;61;.;.;884;442;.;213;138;35;5;433;197;.;.;.;.;.;.;.;.;88;.;.;901;874;.;185;135;40;1;464;34;.;.;.;.;.;.;.;.;1;.;1152;949;712;.;190;153;50;3;..;..;441;85;176;62;50;27;18;11;22;203;1302;1089;..;718;181;107;13;0;..;..;537;98;378;36;114;7;27;9;58;213
"..Accommodation and Food Service Activities";.;3154;1950;.;461;384;100;47;601;887;.;.;.;.;.;.;.;.;356;.;.;3604;2392;.;635;405;98;43;1441;1029;.;.;.;.;.;.;.;.;323;.;.;3665;3558;.;530;480;76;30;1909;145;.;.;.;.;.;.;.;.;21;.;4716;4031;2895;.;655;450;139;75;..;..;2605;303;1446;160;205;159;184;148;74;685;3620;3331;..;2664;367;221;74;27;..;..;1876;155;1119;39;96;17;44;9;61;289
