"Number of Establishments Employing 20 or More Workers With Designated Health and Safety Personnel by Designated Personnel and by Region, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/7001B3GO070.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Region";"2021 Total Establishments";"2021 Total Establishments with Designated Health and Safety Personnel";"2021 Certified First-Aider";"2021 Occupational Health Nurse";"2021 Occupational Health Physician";"2021 Dentist";"2021 Industrial Hygienist";"2021 Safety Officer 1 - Accredited by DOLE";"2021 Safety Officer 1 - Not Accredited by DOLE";"2021 Safety Officer 2 - Accredited by DOLE";"2021 Safety Officer 2 - Not Accredited by DOLE";"2021 Safety Officer 3 - Accredited by DOLE";"2021 Safety Officer 3 - Not Accredited by DOLE";"2021 Safety Officer 4 - Accredited by DOLE";"2021 Safety Officer 4 - Not Accredited by DOLE";"2021 Others";"2021 None"
"PHILIPPINES";36342;31410;21999;7484;4442;1472;232;15944;1920;11289;1025;2743;484;664;175;1290;4932
"..National Capital Region";9728;9132;7464;2138;1316;283;100;4988;499;3777;338;902;157;273;39;228;597
"..Cordilllera Administrative Region";880;707;480;185;90;26;4;363;41;301;17;96;5;28;0;40;173
"..Region I - Ilocos Region";1362;1203;761;253;126;79;0;562;50;566;10;88;4;10;0;54;159
"..Region II - Cagayan Valley";960;789;459;129;93;53;17;512;55;197;1;33;2;5;1;42;171
"..Region III - Central Luzon";3400;3045;2169;822;493;229;23;1457;139;1164;110;365;60;66;4;158;355
"..Region IV-A - CALABARZON";3885;3464;2156;1082;610;198;19;1216;265;1076;177;371;79;87;21;365;421
"..MIMAROPA Region";861;585;385;102;70;19;5;237;37;131;6;18;9;7;6;23;275
"..Region V - Bicol Region";1352;1086;753;257;172;86;21;488;35;378;12;83;8;28;3;52;266
"..Region VI - Western Visayas";2111;1765;1285;294;170;66;6;810;73;491;28;85;14;21;4;60;346
"..Region VII - Central Visayas";3173;3005;1718;777;462;193;15;1774;255;1140;96;239;41;54;32;49;168
"..Region VIII - Eastern Visayas";1137;894;576;157;127;47;7;436;58;214;19;28;16;10;7;37;243
"..Region IX - Zamboanga Peninsula";1171;806;587;145;81;39;0;460;31;228;1;39;0;5;0;40;365
"..Region X - Northern Mindanao";1725;1511;1015;337;189;39;5;907;76;538;14;130;6;33;0;41;214
"..Region XI - Davao Region";2029;1522;945;383;194;31;4;858;84;570;59;135;25;9;9;53;507
"..Region XII - SOCCSKSARGEN";1443;1057;655;238;151;48;6;501;92;329;36;87;9;19;12;41;386
"..Region XIII - Caraga";867;691;517;148;86;30;0;360;28;186;24;43;7;10;1;3;176
"..Bangsamoro Autonomous Region in Muslim Mindanao";256;147;72;36;12;6;0;15;102;2;77;1;45;0;36;3;109
