"Number of Establishments Employing 20 or More Workers With Occupational Safety and Health (OSH)-Related Trainings/Seminars by Type of Training/Seminar and Conducting Agency, Philippines: 2012-2013 to 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/3001B3GO030.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"OSH-Related Training/Seminar";"2012-2013 Number of Establishments with OSH Trainings/Seminars";"2012-2013 DOLE Regional/Provincial Office";"2012-2013 Occupational Safety and Health Center";"2012-2013 Occupational Safety and Health Center/OSHNet";"2012-2013 Bureau of Working Conditions";"2012-2013 Bureau of Fire Protection";"2012-2013 Professional Organizations";"2012-2013 DOLE - Accredited Safety Training Organizations";"2012-2013 Employers' Organizations";"2012-2013 Workers' Groups";"2012-2013 Academe/Universities";"2012-2013 Own Company";"2012-2013 Philippine Red Cross";"2012-2013 Others";"2015 Number of Establishments with OSH Trainings/Seminars";"2015 DOLE Regional/Provincial Office";"2015 Occupational Safety and Health Center";"2015 Occupational Safety and Health Center/OSHNet";"2015 Bureau of Working Conditions";"2015 Bureau of Fire Protection";"2015 Professional Organizations";"2015 DOLE - Accredited Safety Training Organizations";"2015 Employers' Organizations";"2015 Workers' Groups";"2015 Academe/Universities";"2015 Own Company";"2015 Philippine Red Cross";"2015 Others";"2017 Number of Establishments with OSH Trainings/Seminars";"2017 DOLE Regional/Provincial Office";"2017 Occupational Safety and Health Center";"2017 Occupational Safety and Health Center/OSHNet";"2017 Bureau of Working Conditions";"2017 Bureau of Fire Protection";"2017 Professional Organizations";"2017 DOLE - Accredited Safety Training Organizations";"2017 Employers' Organizations";"2017 Workers' Groups";"2017 Academe/Universities";"2017 Own Company";"2017 Philippine Red Cross";"2017 Others";"2019 Number of Establishments with OSH Trainings/Seminars";"2019 DOLE Regional/Provincial Office";"2019 Occupational Safety and Health Center";"2019 Occupational Safety and Health Center/OSHNet";"2019 Bureau of Working Conditions";"2019 Bureau of Fire Protection";"2019 Professional Organizations";"2019 DOLE - Accredited Safety Training Organizations";"2019 Employers' Organizations";"2019 Workers' Groups";"2019 Academe/Universities";"2019 Own Company";"2019 Philippine Red Cross";"2019 Others";"2021 Number of Establishments with OSH Trainings/Seminars";"2021 DOLE Regional/Provincial Office";"2021 Occupational Safety and Health Center";"2021 Occupational Safety and Health Center/OSHNet";"2021 Bureau of Working Conditions";"2021 Bureau of Fire Protection";"2021 Professional Organizations";"2021 DOLE - Accredited Safety Training Organizations";"2021 Employers' Organizations";"2021 Workers' Groups";"2021 Academe/Universities";"2021 Own Company";"2021 Philippine Red Cross";"2021 Others"
"Total";25857;..;4734;..;..;14276;2036;3944;650;241;528;17347;..;3992;26776;4321;..;6994;1031;17500;2115;4212;635;373;731;16893;..;3882;22303;4725;..;7920;789;14556;1674;4817;493;252;461;12651;..;3586;32860;7113;..;11085;1186;18973;1740;7799;746;221;1027;17789;14342;4611;30342;6983;..;11731;943;16771;2147;7632;479;228;402;16135;14367;2811
"40-Hour Basic Occupational Safety and Health Training for Safety Officer 2";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;17212;3170;..;6859;359;0;609;5050;57;23;61;2730;501;899;13430;2612;..;5361;164;0;374;4481;64;24;11;1476;162;520
"40-Hour Basic Occupational Safety and Health Training";8146;..;3482;..;..;0;791;2245;108;68;90;2413;..;390;11675;2409;..;4114;203;0;706;2509;76;21;99;2855;..;454;13527;2844;..;5293;193;0;631;3421;66;16;56;2431;..;407;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"10-Hour Basic Occupational Safety and Health Training for Safety Officer 1";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9023;1820;..;3276;221;0;268;2016;121;4;18;2059;517;363;11814;3370;..;4943;112;0;317;2657;42;16;25;1573;159;233
"8-Hour Workers’ Occupational Safety and Health Seminar";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10131;1366;..;2408;193;0;157;1799;123;23;22;4171;1086;303;8334;1052;..;2474;88;0;121;1237;65;14;27;3637;385;171
"40-Occupational Safety and Health Training for occupation Health Nurse";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3528;474;..;1274;53;0;872;694;13;3;9;466;64;86
"56 Occupational Safety and Health Training for occupation Health Physician";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1678;175;..;579;22;0;420;311;7;2;23;268;21;36
"1-Day Occupational Safety and Health Orientation";6931;..;1821;..;..;0;343;949;171;53;75;3877;..;223;7644;1098;..;1819;116;0;258;828;100;41;81;3712;..;411;6844;1299;..;2003;117;0;148;656;47;45;37;2967;..;250;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"40-Hour Construction Safety and Health Training";2973;..;967;..;..;0;139;972;37;1;8;958;..;157;4053;759;..;1308;112;0;167;907;37;9;22;1225;..;144;4877;777;..;1926;104;0;167;977;18;22;14;1351;..;118;6845;990;..;2706;124;0;209;2048;86;4;8;1609;97;295;2890;490;..;1029;54;0;81;913;11;5;2;518;88;106
"First Aid Training";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;23552;1045;..;2135;180;2021;443;990;178;19;200;5809;12655;851;22408;1318;..;1936;91;1443;201;946;65;5;93;4751;13120;474
