"Number of Establishments Employing 20 or More Workers With Occupational Safety and Health (OSH)-Related Trainings/Seminars by Major Industry Group, Philippines: 2021"

"OSH-Related Training/Seminar";"2021 ALL INDUSTRIES";"2021 ..Agriculture, Forestry and Fishing";"2021 ..Mining and Quarrying";"2021 ..Manufacturing";"2021 ..Electricity, Gas, Steam and Air Conditioning Supply";"2021 ..Water Supply; Sewerage, Waste Management and Remediation Activities";"2021 ..Construction";"2021 ..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"2021 ..Transportation and Storage";"2021 ..Accommodation and Food Service Activities";"2021 ..Information and Communication";"2021 ..Financial and Insurance Activities";"2021 ..Real Estate Activities";"2021 ..Professional, Scientific and Technical Activities";"2021 ..Administrative and Support Service Activities";"2021 ..Education Except Public Education";"2021 ..Human Health and Social Work Activities Except Public Health Activities";"2021 ..Arts, Entertainment and  Recreation";"2021 ..Other Service Activities Except Activities of Membership Organization"
"Total";30342;740;144;5310;262;246;1091;8463;1011;3222;744;1468;556;611;2234;2605;1218;188;229
"10-Hour Basic Occupational Safety and Health Training for Safety Officer 1";11814;289;56;2058;116;78;471;3435;410;1268;282;656;195;220;1030;766;374;40;72
"40-Hour Basic Occupational Safety and Health Training for Safety Officer 2";13430;239;83;2785;179;104;573;3509;494;1543;325;450;270;297;1258;633;552;57;78
"8-Hour Workers’ Occupational Safety and Health Seminar";3528;81;36;981;95;25;159;527;98;202;80;98;58;82;442;286;248;20;12
"40-Occupational Safety and Health Training for occupation Health Nurse";1678;28;26;462;30;11;51;235;51;150;36;52;16;40;220;98;165;3;4
"56 Occupational Safety and Health Training for occupation Health Physician";2890;45;30;609;78;60;524;426;91;185;77;84;95;96;220;134;104;3;29
"40-Hour Construction Safety and Health Training";8334;196;57;1758;132;44;420;2109;262;944;169;360;165;209;757;352;323;36;41
"First Aid Training";22408;479;117;3939;202;150;798;6496;705;2599;539;981;403;427;1701;1710;858;155;153
"HIV and AIDS Prevention and Control in the Workplace";4340;87;30;903;73;25;115;945;111;595;123;187;58;70;441;218;321;11;25
"Safe Work Procedures/Lock Out Tag Out Training";4195;78;39;1119;89;38;216;842;157;451;83;154;56;79;340;239;186;10;17
"Drug-Free Workplace Training";8240;220;44;1836;102;62;306;1976;262;840;210;330;106;119;733;631;379;42;43
"Tuberculosis Prevention and Control in the Workplace";5585;127;45;1233;80;34;153;1187;140;802;121;240;73;101;470;287;440;25;26
"Smoke-Free Workplace/Tobacco Control in the Workplace";7553;185;44;1662;95;55;239;1937;209;826;182;248;125;124;584;521;436;33;50
"Hepatitis B Prevention and Control in the Workplace";4906;111;37;1147;78;24;131;1062;123;679;100;217;70;67;442;199;382;15;22
"Stress Management";6987;156;43;1073;106;93;200;1650;184;580;198;416;112;142;695;918;362;33;26
"Prevention and Control of Lifestyle-Related Disease/Healthy Lifestyle";3859;111;28;759;77;33;123;851;93;335;108;193;62;79;395;360;214;24;13
"Fire Safety Training";19702;485;97;3836;182;153;559;5288;629;2001;424;926;336;319;1353;1910;952;119;131
"Fundamentals of Industrial Hygiene";2815;80;21;767;50;19;108;605;69;324;35;85;38;33;217;145;174;23;22
"Work Environment Measurement Training";2753;77;31;792;47;29;110;585;72;293;47;104;36;52;184;139;138;8;12
"Industrial Ventilation Training";1774;43;10;535;43;13;78;281;56;236;31;54;21;31;124;80;113;12;13
"Chemical Safety Training";3507;168;30;1107;78;46;125;595;86;566;34;64;39;54;176;123;183;14;17
"Ergonomics Training";2856;47;25;756;62;21;93;661;102;238;79;97;39;80;280;94;162;12;9
"Emergency Preparedness and Response";10771;244;76;2095;147;110;301;2606;329;1127;216;437;198;203;828;1122;639;63;31
"Safety Audit/Accident Investigation";4480;87;43;1165;92;29;213;990;148;564;82;133;73;79;375;140;238;20;9
"OSH Management System";5528;121;43;1211;91;37;249;1437;168;689;100;146;100;83;495;250;267;21;20
"Family Planning and Reproductive Health";3018;65;13;726;55;14;65;638;79;197;52;134;39;40;313;229;337;17;5
"Scaffold Safety Training";1457;11;19;379;54;11;288;227;42;68;16;21;28;41;114;62;56;6;14
"Others";621;21;1;111;21;12;28;164;16;35;20;56;9;12;28;63;21;1;3
