"Number of Establishments Employing 20 or More Workers With Preventive and Control Measures/Activities Against Work Safety and Health Hazards by Type of Activity Conducted and Major Industry Group, Philippines: 2012-2013 to 2017"

"Preventive and Control Measures/Activities";"Major Industry Group";"2013";"2015";"2017"
"Total";"Number of Establishments with Preventive and Control Measures/ Activities";34579;30287;31661
"Total";"..Agriculture, Forestry and Fishing";1258;997;1067
"Total";"..Mining and Quarrying";189;141;152
"Total";"..Manufacturing";6555;5882;5826
"Total";"..Electricity, Gas, Steam and Air Conditioning Supply";422;249;281
"Total";"..Water Supply; Sewerage, Waste Management and Remediation Activities";314;335;316
"Total";"..Construction";1042;966;977
"Total";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7562;6908;7641
"Total";"..Transportation and Storage";1140;993;1034
"Total";"..Accommodation and Food Service Activities";4670;4028;4141
"Total";"..Information and Communication";859;797;757
"Total";"..Financial and Insurance Activities";1510;1347;1318
"Total";"..Real Estate Activities";498;392;428
"Total";"..Professional, Scientific and Technical Activities";739;646;712
"Total";"..Administrative and Support Service Activities";2130;1782;1883
"Total";"..Education Except Public Education";4002;3313;3517
"Total";"..Human Health and Social Work Activities Except Public Health Activities";917;955;1037
"Total";"..Arts, Entertainment and  Recreation";248;237;233
"Total";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";488;321;341
"Organized safety and health committee";"Number of Establishments with Preventive and Control Measures/ Activities";20507;21558;24531
"Organized safety and health committee";"..Agriculture, Forestry and Fishing";515;562;672
"Organized safety and health committee";"..Mining and Quarrying";141;105;126
"Organized safety and health committee";"..Manufacturing";4319;4514;4755
"Organized safety and health committee";"..Electricity, Gas, Steam and Air Conditioning Supply";361;231;258
"Organized safety and health committee";"..Water Supply; Sewerage, Waste Management and Remediation Activities";102;118;134
"Organized safety and health committee";"..Construction";864;751;825
"Organized safety and health committee";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4117;4446;5730
"Organized safety and health committee";"..Transportation and Storage";697;637;820
"Organized safety and health committee";"..Accommodation and Food Service Activities";2926;3003;3452
"Organized safety and health committee";"..Information and Communication";385;552;540
"Organized safety and health committee";"..Financial and Insurance Activities";575;885;839
"Organized safety and health committee";"..Real Estate Activities";279;272;334
"Organized safety and health committee";"..Professional, Scientific and Technical Activities";325;413;480
"Organized safety and health committee";"..Administrative and Support Service Activities";1169;1358;1556
"Organized safety and health committee";"..Education Except Public Education";2588;2498;2700
"Organized safety and health committee";"..Human Health and Social Work Activities Except Public Health Activities";790;831;884
"Organized safety and health committee";"..Arts, Entertainment and  Recreation";150;161;185
"Organized safety and health committee";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";202;219;241
"Appointed safety/health officers and/or first-aiders";"Number of Establishments with Preventive and Control Measures/ Activities";21224;26758;26264
"Appointed safety/health officers and/or first-aiders";"..Agriculture, Forestry and Fishing";426;707;667
"Appointed safety/health officers and/or first-aiders";"..Mining and Quarrying";155;127;135
"Appointed safety/health officers and/or first-aiders";"..Manufacturing";4358;5435;5047
"Appointed safety/health officers and/or first-aiders";"..Electricity, Gas, Steam and Air Conditioning Supply";346;235;272
"Appointed safety/health officers and/or first-aiders";"..Water Supply; Sewerage, Waste Management and Remediation Activities";117;230;149
"Appointed safety/health officers and/or first-aiders";"..Construction";970;914;907
"Appointed safety/health officers and/or first-aiders";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4101;5770;6200
"Appointed safety/health officers and/or first-aiders";"..Transportation and Storage";771;862;874
"Appointed safety/health officers and/or first-aiders";"..Accommodation and Food Service Activities";2786;3556;3558
"Appointed safety/health officers and/or first-aiders";"..Information and Communication";497;710;598
"Appointed safety/health officers and/or first-aiders";"..Financial and Insurance Activities";441;1160;908
"Appointed safety/health officers and/or first-aiders";"..Real Estate Activities";298;365;365
"Appointed safety/health officers and/or first-aiders";"..Professional, Scientific and Technical Activities";363;557;552
"Appointed safety/health officers and/or first-aiders";"..Administrative and Support Service Activities";1339;1588;1618
"Appointed safety/health officers and/or first-aiders";"..Education Except Public Education";3054;3164;3034
"Appointed safety/health officers and/or first-aiders";"..Human Health and Social Work Activities Except Public Health Activities";818;905;940
"Appointed safety/health officers and/or first-aiders";"..Arts, Entertainment and  Recreation";169;207;197
"Appointed safety/health officers and/or first-aiders";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";216;267;245
"Posting of safety signages or warnings";"Number of Establishments with Preventive and Control Measures/ Activities";26475;25826;27892
"Posting of safety signages or warnings";"..Agriculture, Forestry and Fishing";830;699;812
"Posting of safety signages or warnings";"..Mining and Quarrying";171;125;141
"Posting of safety signages or warnings";"..Manufacturing";5527;5363;5412
"Posting of safety signages or warnings";"..Electricity, Gas, Steam and Air Conditioning Supply";359;240;264
"Posting of safety signages or warnings";"..Water Supply; Sewerage, Waste Management and Remediation Activities";196;246;260
"Posting of safety signages or warnings";"..Construction";1024;902;907
"Posting of safety signages or warnings";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5516;5677;6655
"Posting of safety signages or warnings";"..Transportation and Storage";860;815;898
"Posting of safety signages or warnings";"..Accommodation and Food Service Activities";3819;3612;3894
"Posting of safety signages or warnings";"..Information and Communication";579;628;608
"Posting of safety signages or warnings";"..Financial and Insurance Activities";779;1014;976
"Posting of safety signages or warnings";"..Real Estate Activities";410;308;394
"Posting of safety signages or warnings";"..Professional, Scientific and Technical Activities";420;514;559
"Posting of safety signages or warnings";"..Administrative and Support Service Activities";1454;1479;1586
"Posting of safety signages or warnings";"..Education Except Public Education";3152;2873;3075
"Posting of safety signages or warnings";"..Human Health and Social Work Activities Except Public Health Activities";838;897;968
"Posting of safety signages or warnings";"..Arts, Entertainment and  Recreation";227;198;203
"Posting of safety signages or warnings";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";314;237;279
"Workers' orientation on safety and health hazards at work";"Number of Establishments with Preventive and Control Measures/ Activities";24166;24085;25939
"Workers' orientation on safety and health hazards at work";"..Agriculture, Forestry and Fishing";1092;744;796
"Workers' orientation on safety and health hazards at work";"..Mining and Quarrying";166;126;141
"Workers' orientation on safety and health hazards at work";"..Manufacturing";5260;5169;5267
"Workers' orientation on safety and health hazards at work";"..Electricity, Gas, Steam and Air Conditioning Supply";332;228;254
"Workers' orientation on safety and health hazards at work";"..Water Supply; Sewerage, Waste Management and Remediation Activities";149;182;242
"Workers' orientation on safety and health hazards at work";"..Construction";1023;896;911
"Workers' orientation on safety and health hazards at work";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4785;5167;5994
"Workers' orientation on safety and health hazards at work";"..Transportation and Storage";826;796;880
"Workers' orientation on safety and health hazards at work";"..Accommodation and Food Service Activities";3435;3472;3691
"Workers' orientation on safety and health hazards at work";"..Information and Communication";435;564;550
"Workers' orientation on safety and health hazards at work";"..Financial and Insurance Activities";676;968;852
"Workers' orientation on safety and health hazards at work";"..Real Estate Activities";378;274;369
"Workers' orientation on safety and health hazards at work";"..Professional, Scientific and Technical Activities";368;413;516
"Workers' orientation on safety and health hazards at work";"..Administrative and Support Service Activities";1484;1462;1521
"Workers' orientation on safety and health hazards at work";"..Education Except Public Education";2518;2362;2598
"Workers' orientation on safety and health hazards at work";"..Human Health and Social Work Activities Except Public Health Activities";749;845;922
"Workers' orientation on safety and health hazards at work";"..Arts, Entertainment and  Recreation";191;174;187
"Workers' orientation on safety and health hazards at work";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";297;243;249
"Installation of machine guards on moving parts/equipments";"Number of Establishments with Preventive and Control Measures/ Activities";12288;13599;16947
"Installation of machine guards on moving parts/equipments";"..Agriculture, Forestry and Fishing";475;411;530
"Installation of machine guards on moving parts/equipments";"..Mining and Quarrying";143;97;111
"Installation of machine guards on moving parts/equipments";"..Manufacturing";3776;4024;4283
"Installation of machine guards on moving parts/equipments";"..Electricity, Gas, Steam and Air Conditioning Supply";261;160;210
"Installation of machine guards on moving parts/equipments";"..Water Supply; Sewerage, Waste Management and Remediation Activities";83;105;142
"Installation of machine guards on moving parts/equipments";"..Construction";839;621;653
"Installation of machine guards on moving parts/equipments";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2217;2645;4076
"Installation of machine guards on moving parts/equipments";"..Transportation and Storage";420;455;595
"Installation of machine guards on moving parts/equipments";"..Accommodation and Food Service Activities";1581;1976;2368
"Installation of machine guards on moving parts/equipments";"..Information and Communication";190;250;293
"Installation of machine guards on moving parts/equipments";"..Financial and Insurance Activities";232;356;411
"Installation of machine guards on moving parts/equipments";"..Real Estate Activities";133;115;207
"Installation of machine guards on moving parts/equipments";"..Professional, Scientific and Technical Activities";139;213;272
"Installation of machine guards on moving parts/equipments";"..Administrative and Support Service Activities";403;626;786
"Installation of machine guards on moving parts/equipments";"..Education Except Public Education";821;817;1144
"Installation of machine guards on moving parts/equipments";"..Human Health and Social Work Activities Except Public Health Activities";357;561;624
"Installation of machine guards on moving parts/equipments";"..Arts, Entertainment and  Recreation";103;61;123
"Installation of machine guards on moving parts/equipments";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";118;106;117
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"Number of Establishments with Preventive and Control Measures/ Activities";23830;24476;27202
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Agriculture, Forestry and Fishing";615;529;678
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Mining and Quarrying";139;113;141
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Manufacturing";4397;4816;5053
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Electricity, Gas, Steam and Air Conditioning Supply";315;212;261
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Water Supply; Sewerage, Waste Management and Remediation Activities";159;196;217
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Construction";717;734;770
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4924;5225;6345
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Transportation and Storage";745;744;856
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Accommodation and Food Service Activities";3266;3365;3731
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Information and Communication";649;648;631
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Financial and Insurance Activities";955;1174;1130
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Real Estate Activities";303;295;367
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Professional, Scientific and Technical Activities";380;548;631
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Administrative and Support Service Activities";1547;1414;1646
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Education Except Public Education";3493;3106;3299
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Human Health and Social Work Activities Except Public Health Activities";782;898;969
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Arts, Entertainment and  Recreation";191;184;197
"Emergency response preparedness activities for earthquake, fire, chemical spills, etc.";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";252;275;279
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"Number of Establishments with Preventive and Control Measures/ Activities";17291;17740;20810
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Agriculture, Forestry and Fishing";534;466;635
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Mining and Quarrying";149;108;114
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Manufacturing";4427;4297;4604
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Electricity, Gas, Steam and Air Conditioning Supply";271;182;226
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Water Supply; Sewerage, Waste Management and Remediation Activities";157;166;167
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Construction";779;648;702
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3025;3515;4722
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Transportation and Storage";481;522;652
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Accommodation and Food Service Activities";2832;2891;3140
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Information and Communication";323;371;393
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Financial and Insurance Activities";405;593;583
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Real Estate Activities";158;151;287
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Professional, Scientific and Technical Activities";169;286;421
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Administrative and Support Service Activities";833;911;1091
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Education Except Public Education";1661;1617;1964
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Human Health and Social Work Activities Except Public Health Activities";733;745;784
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Arts, Entertainment and  Recreation";139;110;131
"Regular monitoring of hazards such as chemicals, noise and heat in work areas";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";214;159;194
"Dissemination of info materials on safety and health";"Number of Establishments with Preventive and Control Measures/ Activities";20167;20809;24118
"Dissemination of info materials on safety and health";"..Agriculture, Forestry and Fishing";713;586;662
"Dissemination of info materials on safety and health";"..Mining and Quarrying";130;117;129
"Dissemination of info materials on safety and health";"..Manufacturing";4172;4229;4639
"Dissemination of info materials on safety and health";"..Electricity, Gas, Steam and Air Conditioning Supply";326;221;247
"Dissemination of info materials on safety and health";"..Water Supply; Sewerage, Waste Management and Remediation Activities";137;157;156
"Dissemination of info materials on safety and health";"..Construction";884;748;786
"Dissemination of info materials on safety and health";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4037;4235;5762
"Dissemination of info materials on safety and health";"..Transportation and Storage";663;694;806
"Dissemination of info materials on safety and health";"..Accommodation and Food Service Activities";2745;3015;3365
"Dissemination of info materials on safety and health";"..Information and Communication";481;540;539
"Dissemination of info materials on safety and health";"..Financial and Insurance Activities";503;919;875
