"Number of Establishments Employing 20 or More Workers With Preventive and Control Measures/Activities Against Work Safety and Health Hazards by Type of Activity Conducted and Major Industry Group, Philippines: 2019 and 2021"

"Preventive and Control Measures/Activities";"Major Industry Group";"2019";"2021"
"Total";"Number of Establishments with Preventive and Control Measures/ Activities";37762;34895
"Total";"..Agriculture, Forestry and Fishing";1033;1008
"Total";"..Mining and Quarrying";168;165
"Total";"..Manufacturing";6342;6015
"Total";"..Electricity, Gas, Steam and Air Conditioning Supply";285;292
"Total";"..Water Supply; Sewerage, Waste Management and Remediation Activities";315;337
"Total";"..Construction";1221;1202
"Total";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";9383;9698
"Total";"..Transportation and Storage";1093;1254
"Total";"..Accommodation and Food Service Activities";4716;3539
"Total";"..Information and Communication";1052;838
"Total";"..Financial and Insurance Activities";1693;1728
"Total";"..Real Estate Activities";651;657
"Total";"..Professional, Scientific and Technical Activities";914;726
"Total";"..Administrative and Support Service Activities";2711;2462
"Total";"..Education Except Public Education";4099;3135
"Total";"..Human Health and Social Work Activities Except Public Health Activities";1447;1345
"Total";"..Arts, Entertainment and  Recreation";295;241
"Total";"..Other Service Activities Except Activities of Membership Organization";346;251
"Organized safety and heath committee";"Number of Establishments with Preventive and Control Measures/ Activities";31406;25456
"Organized safety and heath committee";"..Agriculture, Forestry and Fishing";671;588
"Organized safety and heath committee";"..Mining and Quarrying";133;132
"Organized safety and heath committee";"..Manufacturing";5662;4430
"Organized safety and heath committee";"..Electricity, Gas, Steam and Air Conditioning Supply";278;254
"Organized safety and heath committee";"..Water Supply; Sewerage, Waste Management and Remediation Activities";202;188
"Organized safety and heath committee";"..Construction";1050;862
"Organized safety and heath committee";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7176;6883
"Organized safety and heath committee";"..Transportation and Storage";929;795
"Organized safety and heath committee";"..Accommodation and Food Service Activities";4174;2773
"Organized safety and heath committee";"..Information and Communication";860;636
"Organized safety and heath committee";"..Financial and Insurance Activities";1484;1094
"Organized safety and heath committee";"..Real Estate Activities";407;460
"Organized safety and heath committee";"..Professional, Scientific and Technical Activities";766;507
"Organized safety and heath committee";"..Administrative and Support Service Activities";2408;1885
"Organized safety and heath committee";"..Education Except Public Education";3395;2511
"Organized safety and heath committee";"..Human Health and Social Work Activities Except Public Health Activities";1353;1166
"Organized safety and heath committee";"..Arts, Entertainment and  Recreation";221;148
"Organized safety and heath committee";"..Other Service Activities Except Activities of Membership Organization";239;143
"Designated safety/health officers and/or firs-aiders";"Number of Establishments with Preventive and Control Measures/ Activities";28420;31410
"Designated safety/health officers and/or firs-aiders";"..Agriculture, Forestry and Fishing";509;775
"Designated safety/health officers and/or firs-aiders";"..Mining and Quarrying";128;149
"Designated safety/health officers and/or firs-aiders";"..Manufacturing";5222;5393
"Designated safety/health officers and/or firs-aiders";"..Electricity, Gas, Steam and Air Conditioning Supply";244;279
"Designated safety/health officers and/or firs-aiders";"..Water Supply; Sewerage, Waste Management and Remediation Activities";159;238
"Designated safety/health officers and/or firs-aiders";"..Construction";1031;1147
"Designated safety/health officers and/or firs-aiders";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7050;8600
"Designated safety/health officers and/or firs-aiders";"..Transportation and Storage";890;1089
"Designated safety/health officers and/or firs-aiders";"..Accommodation and Food Service Activities";3875;3331
"Designated safety/health officers and/or firs-aiders";"..Information and Communication";732;757
"Designated safety/health officers and/or firs-aiders";"..Financial and Insurance Activities";1291;1489
"Designated safety/health officers and/or firs-aiders";"..Real Estate Activities";266;610
"Designated safety/health officers and/or firs-aiders";"..Professional, Scientific and Technical Activities";616;663
"Designated safety/health officers and/or firs-aiders";"..Administrative and Support Service Activities";2205;2270
"Designated safety/health officers and/or firs-aiders";"..Education Except Public Education";2529;2926
"Designated safety/health officers and/or firs-aiders";"..Human Health and Social Work Activities Except Public Health Activities";1205;1283
"Designated safety/health officers and/or firs-aiders";"..Arts, Entertainment and  Recreation";194;203
"Designated safety/health officers and/or firs-aiders";"..Other Service Activities Except Activities of Membership Organization";273;209
"Regularly conducted identification, assessment and control of occupational safety and health hazards and risks such as fall from height, slips, trips or exposure to chemicals, noise, ergonomic hazards, etc. in the workplace";"Number of Establishments with Preventive and Control Measures/ Activities";27678;18307
"Regularly conducted identification, assessment and control of occupational safety and health hazards and risks such as fall from height, slips, trips or exposure to chemicals, noise, ergonomic hazards, etc. in the workplace";"..Agriculture, Forestry and Fishing";520;385
