"Employment-to-Working Age Population Ratio by Sex and Age Group"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E2/0183K3F2010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Employment-to-Working Age Population Ratio (%)";"TOTAL";59.5;61.0;59.0;57.9;58.7;56.5;59.6;59.7;59.1;59.5;59.4;59.1;59.3;58.9;59.2;59.3;60.1;59.7;59.4;60.4;59.7;60.0;57.7;57.7
"Employment-to-Working Age Population Ratio (%)";"..Men";75.7;77.0;74.7;73.2;73.2;70.9;73.5;72.9;73.2;74.2;73.4;72.7;72.9;72.8;72.6;72.5;73.3;72.8;72.4;73.2;72.2;73.2;71.6;71.1
"Employment-to-Working Age Population Ratio (%)";"..Women";43.3;44.9;43.5;42.8;44.2;42.1;45.8;46.6;45.2;44.9;45.5;45.6;45.9;45.2;45.9;46.3;47.0;46.7;46.5;47.6;47.2;46.8;43.8;44.2
"Employment-to-Working Age Population Ratio (%)";"..15-24 years old";42.2;43.9;42.2;40.2;40.6;37.6;40.2;39.6;39.1;39.7;39.3;38.5;38.4;37.4;37.6;37.4;39.1;38.7;38.0;39.1;37.2;36.9;34.4;33.3
"Employment-to-Working Age Population Ratio (%)";"..25-54";71.5;72.8;70.1;69.3;70.3;68.6;72.6;73.0;72.3;72.0;72.0;72.2;72.6;72.5;72.8;73.0;73.4;73.2;73.0;74.0;73.8;74.4;72.5;72.9
"Employment-to-Working Age Population Ratio (%)";"..55+";54.0;54.8;53.4;52.8;53.2;51.6;53.7;54.0;53.4;53.7;53.6;53.0;53.4;52.9;53.3;53.6;53.8;52.9;52.6;53.3;53.3;53.3;49.5;49.6
"Total Employed (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total Employed (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total Employed (000)";"..Women";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total Employed (000)";"..15-24 years old";5679;6129;5760;5602;5714;5524;5992;6027;6154;6387;6430;6532;6628;6579;6731;6816;7258;7322;7335;7508;7255;7265;6780;6620
"Total Employed (000)";"..25-54";16218;17269;17027;17234;17991;17887;18782;19424;20025;20970;21472;21889;22515;22962;23568;24233;24829;25174;25602;25905;26182;27500;27492;28217
"Total Employed (000)";"..55+";3779;3789;3577;3795;4036;4040;4382;4611;4456;4257;4411;4215;4418;4547;4762;4985;5106;5105;5180;5238;5305;6232;6062;6320
"Total Working Age Population (000)";"TOTAL";43156;44599;44658;45964;47270;48587;48929;50344;51793;53144;54388;55230;56565;57848;59237;60717;61882;62985;64173;64033;64936;68311;69891;71339
"Total Working Age Population (000)";"..Men";21565;22307;22232;22818;23568;24245;24396;25108;25799;26485;27111;27521;28184;28784;29464;30223;30805;31369;31974;31905;32417;34184;35004;35782
"Total Working Age Population (000)";"..Women";21591;22292;22426;23147;23704;24342;24532;25237;25994;26660;27277;27708;28381;29064;29773;30493;31076;31616;32199;32128;32519;34127;34887;35557
"Total Working Age Population (000)";"..15-24 years old";13473;13969;13663;13927;14084;14687;14908;15203;15738;16088;16344;16967;17275;17594;17910;18220;18576;18928;19285;19223;19522;19669;19734;19859
"Total Working Age Population (000)";"..25-54";22680;23712;24291;24855;25600;26078;25861;26597;27706;29129;29814;30303;31023;31664;32393;33201;33820;34403;35048;34991;35453;36940;37907;38731
"Total Working Age Population (000)";"..55+";7003;6918;6704;7184;7586;7822;8160;8545;8350;7926;8230;7960;8268;8590;8935;9295;9486;9655;9840;9819;9962;11701;12250;12749
