"Working Children, Not Currently Attending School by Sex and Age Group"

"Indicator";"Sex";"Age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent Share of Working Children, Not Currently Attending School";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;56.7;57.9;58.5;56.2;54.8;46.4;49.9;50.0;43.5;45.4;44.9;39.1;33.5
"Percent Share of Working Children, Not Currently Attending School";"TOTAL";"..5-9 years old";..;..;..;..;..;..;..;..;..;..;..;20.3;21.7;17.6;15.6;13.4;8.7;6.1;6.5;4.9;4.7;6.0;1.8;3.6
"Percent Share of Working Children, Not Currently Attending School";"TOTAL";"..10-14";..;..;..;..;..;..;..;..;..;..;..;33.6;34.4;32.1;31.2;27.3;20.4;21.4;20.8;15.8;16.5;13.7;14.2;13.0
"Percent Share of Working Children, Not Currently Attending School";"TOTAL";"..15-17";..;..;..;..;..;..;..;..;..;..;..;72.3;73.0;72.8;70.7;71.1;64.9;66.3;66.2;60.3;61.4;59.9;52.5;46.0
"Percent Share of Working Children, Not Currently Attending School";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;60.2;61.0;62.4;59.1;58.2;50.4;54.4;54.6;48.5;51.2;50.5;46.9;40.4
"Percent Share of Working Children, Not Currently Attending School";"Boys";"..5-9 years old";..;..;..;..;..;..;..;..;..;..;..;23.3;21.4;20.4;17.6;13.8;11.4;5.6;7.8;5.1;4.1;8.3;3.3;4.5
"Percent Share of Working Children, Not Currently Attending School";"Boys";"..10-14";..;..;..;..;..;..;..;..;..;..;..;38.3;39.2;37.9;35.9;32.3;25.0;26.5;25.2;20.7;22.8;17.5;19.5;17.8
"Percent Share of Working Children, Not Currently Attending School";"Boys";"..15-17";..;..;..;..;..;..;..;..;..;..;..;74.8;74.9;75.3;72.6;73.1;67.8;70.2;69.6;64.6;65.8;64.7;59.4;52.6
"Percent Share of Working Children, Not Currently Attending School";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;50.8;52.7;51.6;51.3;49.1;39.5;42.1;41.8;34.8;35.5;34.5;23.2;19.6
"Percent Share of Working Children, Not Currently Attending School";"Girls";"..5-9 years old";..;..;..;..;..;..;..;..;..;..;..;15.7;22.0;13.9;12.8;10.6;6.9;6.7;2.4;4.5;2.7;5.7;3.7;2.6
"Percent Share of Working Children, Not Currently Attending School";"Girls";"..10-14";..;..;..;..;..;..;..;..;..;..;..;25.4;26.2;22.3;23.2;19.2;13.2;12.8;12.9;8.5;7.6;8.8;5.9;6.1
"Percent Share of Working Children, Not Currently Attending School";"Girls";"..15-17";..;..;..;..;..;..;..;..;..;..;..;67.9;69.4;68.2;67.4;67.6;59.5;59.6;59.5;52.5;53.4;49.7;35.7;30.7
"Total Working Children, Not Currently Attending School (000)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;1334;1342;1259;1236;1149;1151;1134;1038;943;834;677;526;465
"Total Working Children, Not Currently Attending School (000)";"TOTAL";"..5-9 years old";..;..;..;..;..;..;..;..;..;..;..;25;26;15;14;15;12;6;6;5;4;5;1;3
"Total Working Children, Not Currently Attending School (000)";"TOTAL";"..10-14";..;..;..;..;..;..;..;..;..;..;..;263;255;206;213;172;176;151;128;110;90;54;56;55
"Total Working Children, Not Currently Attending School (000)";"TOTAL";"..15-17";..;..;..;..;..;..;..;..;..;..;..;1046;1061;1037;1009;962;962;976;905;828;740;618;469;407
"Total Working Children, Not Currently Attending School (000)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;895;892;852;817;770;790;787;729;666;595;494;425;374
"Total Working Children, Not Currently Attending School (000)";"Boys";"..5-9 years old";..;..;..;..;..;..;..;..;..;..;..;17;15;10;9;9;9;3;4;3;2;4;1;2
"Total Working Children, Not Currently Attending School (000)";"Boys";"..10-14";..;..;..;..;..;..;..;..;..;..;..;190;183;152;155;126;134;118;97;88;74;41;47;46
"Total Working Children, Not Currently Attending School (000)";"Boys";"..15-17";..;..;..;..;..;..;..;..;..;..;..;687;694;689;653;635;647;666;627;575;519;450;378;327
"Total Working Children, Not Currently Attending School (000)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;440;450;407;419;379;361;347;309;277;240;183;101;91
"Total Working Children, Not Currently Attending School (000)";"Girls";"..5-9 years old";..;..;..;..;..;..;..;..;..;..;..;8;11;5;5;5;4;3;1;2;1;2;1;1
"Total Working Children, Not Currently Attending School (000)";"Girls";"..10-14";..;..;..;..;..;..;..;..;..;..;..;73;72;54;58;46;43;33;30;23;17;14;9;10
