"Working Children by Sex and Major Industry Group"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E6/0563K3E6030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Major Industry Group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent Distribution of Working Children";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution of Working Children";"TOTAL";"..Agriculture, Hunting and Forestry";..;..;..;..;..;..;..;..;..;58.2;56.8;55.0;55.6;55.6;55.1;54.0;51.4;53.9;52.7;52.3;50.1;46.4;42.3;44.1
"Percent Distribution of Working Children";"TOTAL";"..Fishing";..;..;..;..;..;..;..;..;..;6.3;6.3;6.4;6.0;5.6;6.2;6.2;5.3;5.5;5.2;5.4;4.8;5.2;4.8;3.6
"Percent Distribution of Working Children";"TOTAL";"..Mining and Quarrying";..;..;..;..;..;..;..;..;..;0.5;0.6;0.7;0.6;0.7;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.5;0.7;0.7
"Percent Distribution of Working Children";"TOTAL";"..Manufacturing";..;..;..;..;..;..;..;..;..;4.5;5.4;5.4;5.0;4.3;4.3;4.7;4.9;4.4;4.9;4.7;5.4;4.8;5.4;5.6
"Percent Distribution of Working Children";"TOTAL";"..Construction";..;..;..;..;..;..;..;..;..;1.2;1.2;1.1;1.2;1.5;1.3;1.6;1.4;1.8;2.2;2.4;2.6;3.8;4.2;5.8
"Percent Distribution of Working Children";"TOTAL";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;..;..;..;..;..;..;..;..;15.0;15.1;16.5;16.2;17.0;16.6;17.2;21.9;18.9;19.5;21.4;22.5;24.7;28.5;27.4
"Percent Distribution of Working Children";"TOTAL";"..Other Service Activities/Activities of Households as Employers";..;..;..;..;..;..;..;..;..;9.6;10.0;10.4;10.7;10.2;10.8;10.8;9.2;8.5;7.9;6.7;7.2;7.3;6.3;5.9
"Percent Distribution of Working Children";"TOTAL";"..Others";..;..;..;..;..;..;..;..;..;4.6;4.7;4.6;4.6;5.2;5.0;4.8;5.1;6.2;6.9;6.4;6.7;7.3;7.7;6.8
"Percent Distribution of Working Children";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution of Working Children";"Boys";"..Agriculture, Hunting and Forestry";..;..;..;..;..;..;..;..;..;67.0;66.4;65.5;64.8;65.4;65.1;63.1;60.9;63.3;61.5;61.0;58.2;54.7;50.8;51.2
