"Working Children by Sex and Major Occupation Group"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E6/0573K3E6040.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Major Occupation Group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Percent Distribution of Working Children";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution of Working Children";"TOTAL";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;..;..;..;5.8;6.8;7.3;6.6;5.1;4.5;3.9;3.7;2.9;2.6;2.8;2.5
"Percent Distribution of Working Children";"TOTAL";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;..;..;..;11.5;11.5;12.6;12.9;14.0;14.8;15.4;17.6;19.9;20.4;22.4;24.1
"Percent Distribution of Working Children";"TOTAL";"..Trade and Related Workers";..;..;..;..;..;..;..;..;..;2.7;3.4;3.0;2.7;2.4;2.1;2.0;1.9;1.8;2.3;1.9;2.1
"Percent Distribution of Working Children";"TOTAL";"..Plant and Machine Operators and Assemblers";..;..;..;..;..;..;..;..;..;1.0;1.1;1.1;1.0;0.8;0.6;0.8;0.6;0.6;0.8;0.6;0.7
"Percent Distribution of Working Children";"TOTAL";"..Laborers and Unskilled workers";..;..;..;..;..;..;..;..;..;77.3;75.5;74.5;75.0;75.3;76.2;76.0;73.4;72.6;71.2;70.0;67.9
"Percent Distribution of Working Children";"TOTAL";"..Others";..;..;..;..;..;..;..;..;..;1.7;1.6;1.7;1.9;2.3;1.9;2.1;2.7;2.2;2.7;2.4;2.7
"Percent Distribution of Working Children";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution of Working Children";"Boys";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;..;..;..;7.5;8.9;9.7;8.7;7.0;5.9;5.4;5.1;3.9;3.6;3.7;3.4
"Percent Distribution of Working Children";"Boys";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;..;..;..;6.8;6.8;6.9;7.7;8.3;8.9;9.4;11.0;12.6;12.9;14.4;16.0
"Percent Distribution of Working Children";"Boys";"..Trade and Related Workers";..;..;..;..;..;..;..;..;..;2.6;3.3;2.8;2.7;2.3;2.1;2.1;2.0;1.9;2.4;2.1;2.1
"Percent Distribution of Working Children";"Boys";"..Plant and Machine Operators and Assemblers";..;..;..;..;..;..;..;..;..;1.4;1.4;1.3;1.3;1.2;0.9;1.1;0.9;0.8;0.9;0.7;0.8
"Percent Distribution of Working Children";"Boys";"..Laborers and Unskilled workers";..;..;..;..;..;..;..;..;..;80.5;78.4;78.2;78.0;79.5;80.7;80.1;78.5;78.7;77.8;77.0;75.1
"Percent Distribution of Working Children";"Boys";"..Others";..;..;..;..;..;..;..;..;..;1.2;1.2;1.1;1.5;1.8;1.5;1.8;2.5;2.1;2.5;2.2;2.6
"Percent Distribution of Working Children";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution of Working Children";"Girls";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;..;..;..;2.5;3.0;3.1;2.9;1.9;2.1;1.3;1.3;1.1;1.1;1.1;0.9
"Percent Distribution of Working Children";"Girls";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;..;..;..;20.3;20.0;22.2;21.8;24.0;24.8;25.5;29.0;32.7;34.1;36.2;38.0
"Percent Distribution of Working Children";"Girls";"..Trade and Related Workers";..;..;..;..;..;..;..;..;..;2.7;3.6;3.3;2.8;2.4;2.0;1.7;1.6;1.5;2.0;1.6;1.9
"Percent Distribution of Working Children";"Girls";"..Plant and Machine Operators and Assemblers";..;..;..;..;..;..;..;..;..;0.5;0.5;0.7;0.4;0.3;0.2;0.1;0.1;0.2;0.5;0.4;0.6
"Percent Distribution of Working Children";"Girls";"..Laborers and Unskilled workers";..;..;..;..;..;..;..;..;..;71.4;70.6;68.1;69.7;68.1;68.5;68.9;64.8;61.9;59.3;57.9;55.5
"Percent Distribution of Working Children";"Girls";"..Others";..;..;..;..;..;..;..;..;..;2.8;2.3;2.5;2.5;3.3;2.6;2.5;3.2;2.7;3.1;2.8;3.0
"Total Working Children (000)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;2356;2290;2354;2316;2153;2199;2095;2482;2273;2076;2170;1839
"Total Working Children (000)";"TOTAL";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;..;..;..;136;155;171;152;110;98;81;91;66;55;60;46
"Total Working Children (000)";"TOTAL";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;..;..;..;272;263;296;299;302;325;322;438;452;424;486;444
"Total Working Children (000)";"TOTAL";"..Trade and Related Workers";..;..;..;..;..;..;..;..;..;63;79;70;63;51;46;41;47;40;47;42;39
"Total Working Children (000)";"TOTAL";"..Plant and Machine Operators and Assemblers";..;..;..;..;..;..;..;..;..;24;25;25;23;18;14;17;15;14;16;12;13
"Total Working Children (000)";"TOTAL";"..Laborers and Unskilled workers";..;..;..;..;..;..;..;..;..;1821;1730;1754;1736;1622;1675;1592;1822;1650;1479;1519;1249
"Total Working Children (000)";"TOTAL";"..Others";..;..;..;..;..;..;..;..;..;41;37;39;43;50;41;43;68;51;56;52;50
"Total Working Children (000)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;1527;1466;1487;1462;1365;1383;1323;1567;1448;1336;1374;1163
"Total Working Children (000)";"Boys";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;..;..;..;115;130;144;127;95;82;71;80;57;48;51;40
"Total Working Children (000)";"Boys";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;..;..;..;104;99;103;113;113;123;125;173;182;172;198;186
"Total Working Children (000)";"Boys";"..Trade and Related Workers";..;..;..;..;..;..;..;..;..;40;49;41;39;32;29;28;32;28;32;29;25
"Total Working Children (000)";"Boys";"..Plant and Machine Operators and Assemblers";..;..;..;..;..;..;..;..;..;21;21;19;19;16;12;15;14;12;12;9;9
"Total Working Children (000)";"Boys";"..Laborers and Unskilled workers";..;..;..;..;..;..;..;..;..;1229;1149;1163;1141;1085;1116;1060;1230;1139;1040;1058;873
"Total Working Children (000)";"Boys";"..Others";..;..;..;..;..;..;..;..;..;18;18;16;22;24;21;24;39;30;33;30;30
"Total Working Children (000)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;829;824;866;854;788;816;772;914;825;740;796;676
"Total Working Children (000)";"Girls";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;..;..;..;21;25;27;25;15;17;10;12;9;8;9;6
"Total Working Children (000)";"Girls";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;..;..;..;168;165;192;186;189;202;197;265;270;252;288;257
"Total Working Children (000)";"Girls";"..Trade and Related Workers";..;..;..;..;..;..;..;..;..;22;30;29;24;19;16;13;15;12;15;13;13
"Total Working Children (000)";"Girls";"..Plant and Machine Operators and Assemblers";..;..;..;..;..;..;..;..;..;4;4;6;3;2;2;1;1;2;4;3;4
"Total Working Children (000)";"Girls";"..Laborers and Unskilled workers";..;..;..;..;..;..;..;..;..;592;582;590;595;537;559;532;592;511;439;461;375
"Total Working Children (000)";"Girls";"..Others";..;..;..;..;..;..;..;..;..;23;19;22;21;26;21;19;29;22;23;22;20
