"Working Children by Sex and Major Occupation Group"

"Indicator";"Sex";"Major Occupation Group";"2016";"2017";"2018"
"Percent Distribution of Working Children";"TOTAL";"TOTAL";100.0;100.0;100.0
"Percent Distribution of Working Children";"TOTAL";"..Skilled Agricultural, Forestry and Fishery Workers";2.8;5.2;4.3
"Percent Distribution of Working Children";"TOTAL";"..Service and Sales Workers";19.7;22.5;21.0
"Percent Distribution of Working Children";"TOTAL";"..Craft and Related Trades Workers";2.3;2.6;2.3
"Percent Distribution of Working Children";"TOTAL";"..Plant and Machine Operators and Assemblers";1.1;1.3;0.9
"Percent Distribution of Working Children";"TOTAL";"..Elementary Occupations";71.2;65.8;70.3
"Percent Distribution of Working Children";"TOTAL";"..Others";2.9;2.6;1.1
"Percent Distribution of Working Children";"Boys";"TOTAL";100.0;100.0;100.0
"Percent Distribution of Working Children";"Boys";"..Skilled Agricultural, Forestry and Fishery Workers";3.7;6.9;5.5
"Percent Distribution of Working Children";"Boys";"..Service and Sales Workers";13.6;15.0;13.8
"Percent Distribution of Working Children";"Boys";"..Craft and Related Trades Workers";2.7;2.8;2.7
"Percent Distribution of Working Children";"Boys";"..Plant and Machine Operators and Assemblers";1.4;1.7;1.4
"Percent Distribution of Working Children";"Boys";"..Elementary Occupations";76.0;71.4;75.6
"Percent Distribution of Working Children";"Boys";"..Others";2.7;2.2;1.0
"Percent Distribution of Working Children";"Girls";"TOTAL";100.0;100.0;100.0
"Percent Distribution of Working Children";"Girls";"..Skilled Agricultural, Forestry and Fishery Workers";1.3;1.6;1.9
"Percent Distribution of Working Children";"Girls";"..Service and Sales Workers";30.9;38.1;35.1
"Percent Distribution of Working Children";"Girls";"..Craft and Related Trades Workers";1.9;2.3;1.5
"Percent Distribution of Working Children";"Girls";"..Plant and Machine Operators and Assemblers";0.4;0.5;0.2
"Percent Distribution of Working Children";"Girls";"..Elementary Occupations";62.1;54.1;59.7
"Percent Distribution of Working Children";"Girls";"..Others";3.2;3.2;1.5
"Total Working Children (000)";"TOTAL";"TOTAL";1509;1344;1389
"Total Working Children (000)";"TOTAL";"..Skilled Agricultural, Forestry and Fishery Workers";43;70;60
"Total Working Children (000)";"TOTAL";"..Service and Sales Workers";297;302;291
"Total Working Children (000)";"TOTAL";"..Craft and Related Trades Workers";35;35;32
"Total Working Children (000)";"TOTAL";"..Plant and Machine Operators and Assemblers";16;18;13
"Total Working Children (000)";"TOTAL";"..Elementary Occupations";1074;884;977
"Total Working Children (000)";"TOTAL";"..Others";44;35;15
"Total Working Children (000)";"Boys";"TOTAL";978;907;926
"Total Working Children (000)";"Boys";"..Skilled Agricultural, Forestry and Fishery Workers";36;63;51
"Total Working Children (000)";"Boys";"..Service and Sales Workers";133;136;128
"Total Working Children (000)";"Boys";"..Craft and Related Trades Workers";26;25;25
"Total Working Children (000)";"Boys";"..Plant and Machine Operators and Assemblers";14;15;13
"Total Working Children (000)";"Boys";"..Elementary Occupations";743;648;700
"Total Working Children (000)";"Boys";"..Others";26;20;9
"Total Working Children (000)";"Girls";"TOTAL";531;436;464
"Total Working Children (000)";"Girls";"..Skilled Agricultural, Forestry and Fishery Workers";7;7;9
"Total Working Children (000)";"Girls";"..Service and Sales Workers";164;166;163
"Total Working Children (000)";"Girls";"..Craft and Related Trades Workers";10;10;7
"Total Working Children (000)";"Girls";"..Plant and Machine Operators and Assemblers";2;2;1
"Total Working Children (000)";"Girls";"..Elementary Occupations";330;236;277
"Total Working Children (000)";"Girls";"..Others";17;14;7
