"Working Poverty Rate by Sex, Branch of Economic Activity and Class of Workers"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Working poverty rate";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;22.9;..;..;22.8;..;..;21.9;..;..;18.0;..;..;..
"Working poverty rate";"..Men";..;..;..;..;..;..;..;..;..;..;..;25.0;..;..;25.1;..;..;24.4;..;..;..;..;..;..
"Working poverty rate";"..Women";..;..;..;..;..;..;..;..;..;..;..;19.5;..;..;19.3;..;..;18.1;..;..;..;..;..;..
"Working poverty rate";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;43.5;..;..;44.3;..;..;44.0;..;..;..;..;..;..
"Working poverty rate";"..Industry";..;..;..;..;..;..;..;..;..;..;..;15.7;..;..;16.2;..;..;13.4;..;..;..;..;..;..
"Working poverty rate";"..Services";..;..;..;..;..;..;..;..;..;..;..;10.5;..;..;11.1;..;..;9.5;..;..;..;..;..;..
"Working poverty rate";"..Wage and Salary Workers";..;..;..;..;..;..;..;..;..;..;..;17.2;..;..;18.3;..;..;18.1;..;..;..;..;..;..
"Working poverty rate";"..Employers";..;..;..;..;..;..;..;..;..;..;..;16.9;..;..;14.5;..;..;11.7;..;..;..;..;..;..
"Working poverty rate";"..Self-Employed";..;..;..;..;..;..;..;..;..;..;..;27.5;..;..;26.3;..;..;26.0;..;..;..;..;..;..
"Working poverty rate";"..Unpaid Family Workers";..;..;..;..;..;..;..;..;..;..;..;38.7;..;..;39.6;..;..;37.3;..;..;..;..;..;..
